Unnamed: 0,NWE,CLE
First Downs,20,16
Rush-Yds-TDs,29-98-3,18-70-0
Cmp-Att-Yd-TD-INT,24-34-309-2-0,21-45-266-1-2
Sacked-Yards,2-8,4-8
Net Pass Yards,301,258
Total Yards,399,328
Fumbles-Lost,1-1,3-2
Turnovers,1,4
Penalties-Yards,12-92,7-63
Third Down Conv.,7-14,4-15
Fourth Down Conv.,0-0,3-5
Time of Possession,35:05,24:55
