Quarter,Time,Tm,Detail,ARI,NOR
1.0,5:41,Cardinals,Zane Gonzalez 31 yard field goal,3,0
2.0,14:13,Saints,Wil Lutz 26 yard field goal,3,3
,8:59,Saints,Latavius Murray 8 yard rush (Wil Lutz kick),3,10
,5:18,Cardinals,Zane Gonzalez 31 yard field goal,6,10
3.0,5:25,Saints,Latavius Murray 15 yard pass from Drew Brees (Wil Lutz kick),6,17
,1:42,Cardinals,Zane Gonzalez 50 yard field goal,9,17
4.0,12:48,Saints,Taysom Hill 5 yard pass from Drew Brees (Wil Lutz kick),9,24
,5:18,Saints,Michael Thomas 9 yard pass from Drew Brees (Wil Lutz kick),9,31
