Unnamed: 0,ARI,NOR
First Downs,10,28
Rush-Yds-TDs,11-40-0,29-137-1
Cmp-Att-Yd-TD-INT,19-34-220-0-0,34-43-373-3-1
Sacked-Yards,4-23,0-0
Net Pass Yards,197,373
Total Yards,237,510
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,5-35,2-15
Third Down Conv.,2-12,7-12
Fourth Down Conv.,0-2,0-0
Time of Possession,22:01,37:59
