Unnamed: 0,NWE,TEN
First Downs,16,23
Rush-Yds-TDs,19-40-1,36-150-2
Cmp-Att-Yd-TD-INT,23-43-267-0-0,17-25-249-2-0
Sacked-Yards,3-23,2-14
Net Pass Yards,244,235
Total Yards,284,385
Fumbles-Lost,0-0,3-0
Turnovers,0,0
Penalties-Yards,4-31,4-35
Third Down Conv.,3-15,5-12
Fourth Down Conv.,2-3,0-0
Time of Possession,27:03,32:57
