Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Julian Edelman,NWE,12,9,104,0,4,54,6.0,50,5.6,6.3,0,,0,0.0,0,100.7
James White,NWE,8,5,31,0,2,-7,-1.4,38,7.6,0.4,0,,0,0.0,0,70.3
Josh Gordon,NWE,12,4,81,0,3,62,15.5,19,4.8,16.3,0,,1,8.3,0,58.0
Phillip Dorsett,NWE,2,2,18,0,1,8,4.0,10,5.0,4.0,0,,0,0.0,0,104.2
Dwayne Allen,NWE,1,1,10,0,1,3,3.0,7,7.0,3.0,0,,0,0.0,0,108.3
Tom Brady,NWE,1,1,6,0,0,0,0.0,6,6.0,0.0,0,,0,0.0,0,91.7
Jacob Hollister,NWE,2,1,17,0,1,13,13.0,4,4.0,9.0,0,,0,0.0,0,79.2
Chris Hogan,NWE,2,0,0,0,,0,,0,,16.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Corey Davis,TEN,10,7,125,1,6,104,14.9,21,3.0,14.8,0,,0,0.0,0,145.8
Jonnu Smith,TEN,3,3,45,1,2,14,4.7,31,10.3,4.7,1,3.0,0,0.0,0,158.3
Cameron Batson,TEN,3,2,36,0,1,24,12.0,12,6.0,9.3,0,,0,0.0,0,107.6
Dion Lewis,TEN,2,2,11,0,0,3,1.5,8,4.0,1.5,0,,0,0.0,0,89.6
Anthony Firkser,TEN,1,1,11,0,1,9,9.0,2,2.0,9.0,0,,0,0.0,0,112.5
Darius Jennings,TEN,1,1,0,0,0,-1,-1.0,1,1.0,-1.0,0,,0,0.0,0,79.2
Marcus Mariota,TEN,1,1,21,0,1,10,10.0,11,11.0,10.0,0,,0,0.0,0,118.7
Tajae Sharpe,TEN,3,0,0,0,,0,,0,,18.7,0,,0,0.0,0,39.6
