Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 63 yards, returned by Tyson Thompson for 27 yards (tackle by Maurice Hicks)",0.000,1.200
1,14:54,1,10,DAL 34,0,0,Drew Bledsoe pass complete to Jason Witten for 13 yards (tackle by Derek Smith and Tony Parrish),1.200,2.060
1,14:16,1,10,DAL 47,0,0,Julius Jones left end for 3 yards (tackle by Shawntae Spencer),2.060,1.920
1,13:34,2,7,SFO 50,0,0,Julius Jones right guard for -1 yards (tackle by Bryant Young and Shawntae Spencer),1.920,1.090
1,12:52,3,8,DAL 49,0,0,Drew Bledsoe pass complete to Terry Glenn for 7 yards (tackle by Shawntae Spencer),1.090,0.330
1,12:10,4,1,SFO 44,0,0,Julius Jones up the middle for 4 yards (tackle by Tony Parrish),0.330,2.920
1,11:33,1,10,SFO 40,0,0,Drew Bledsoe pass incomplete intended for Julius Jones,2.920,2.370
1,11:26,2,10,SFO 40,0,0,Julius Jones left guard for 9 yards (tackle by Bryant Young),2.370,2.870
1,10:46,3,1,SFO 31,0,0,Drew Bledsoe sacked by Bryant Young for -8 yards,2.870,0.660
1,10:42,4,9,SFO 39,0,0,"Mat McBriar punts 39 yards, touchback",0.660,-0.280
1,10:28,1,10,SFO 20,0,0,Tim Rattay pass complete to Kevan Barlow for 1 yard (tackle by Terence Newman and Alshermond Singleton),0.280,-0.130
1,9:46,2,9,SFO 21,0,0,Frank Gore right tackle for 4 yards (tackle by Kenyon Coleman),-0.130,-0.300
1,9:05,3,5,SFO 25,0,0,Tim Rattay pass complete to Johnnie Morton for 7 yards (tackle by Aaron Glenn),-0.300,1.070
1,8:27,1,10,SFO 32,0,0,"Tim Rattay pass incomplete intended for Arnaz Battle. Penalty on La'Roi Glover: Roughing the Passer, 15 yards (no play)",1.070,2.060
1,8:20,1,10,SFO 47,0,0,Kevan Barlow up the middle for 3 yards (tackle by Greg Ellis),2.060,1.920
1,7:45,2,7,SFO 50,0,0,Tim Rattay right end for 6 yards (tackle by Kenyon Coleman),1.920,2.020
1,7:17,3,1,DAL 44,0,0,Tim Rattay up the middle for 2 yards (tackle by DeMarcus Ware),2.020,2.790
1,6:30,1,10,DAL 42,0,0,"Penalty on Tim Rattay: Delay of Game, 5 yards (no play)",2.790,2.460
1,6:08,1,15,DAL 47,0,0,Kevan Barlow left tackle for 12 yards (tackle by Dat Nguyen),2.460,3.190
1,5:32,2,3,DAL 35,0,0,Kevan Barlow right tackle for 8 yards (tackle by Dat Nguyen),3.190,3.780
1,4:57,1,10,DAL 27,0,0,Frank Gore right guard for 6 yards (tackle by Jason Ferguson),3.780,4.040
1,4:16,2,4,DAL 21,0,0,Frank Gore right guard for 6 yards (tackle by Jason Ferguson),4.040,4.580
1,3:38,1,10,DAL 15,0,6,"Tim Rattay pass complete to Arnaz Battle for 15 yards, touchdown",4.580,7.000
1,,,,,0,7,"Penalty on Anthony Henry: Defensive Offside, 5 yards",0.000,0.000
1,,,,DAL 2,0,7,Joe Nedney kicks extra point good,0.000,0.000
1,,,,SFO 35,0,7,"Joe Nedney kicks off 63 yards, returned by Tyson Thompson for 30 yards (tackle by Corey Smith)",0.000,1.070
1,3:24,1,10,DAL 32,0,7,Julius Jones left tackle for 13 yards (tackle by Tony Parrish and Julian Peterson),1.070,1.930
1,2:49,1,10,DAL 45,0,7,"Julius Jones up the middle for 1 yard (tackle by Mike Rumph). Julius Jones fumbles (forced by Mike Rumph), recovered by Marques Douglas at DAL-46 (tackle by Flozell Adams)",1.930,-2.520
1,2:40,1,10,DAL 46,0,7,Kevan Barlow right end for 3 yards (tackle by Roy Williams),2.520,2.380
1,2:00,2,7,DAL 43,0,7,Tim Rattay sacked by DeMarcus Ware for -2 yards,2.380,1.420
1,1:25,3,9,DAL 45,0,7,Tim Rattay pass incomplete intended for Arnaz Battle,1.420,0.270
,,,,,,,"SFO challenged the ruling, and the original play was overturned.",,
1,1:14,4,9,DAL 45,0,7,"Andy Lee punts 37 yards, fair catch by Patrick Crayton",0.270,0.380
1,1:07,1,10,DAL 8,0,7,Drew Bledsoe pass incomplete intended for Dan Campbell,-0.380,-0.780
1,1:03,2,10,DAL 8,0,7,Drew Bledsoe pass complete to Jason Witten for 10 yards (tackle by Shawntae Spencer),-0.780,0.040
1,0:38,1,10,DAL 18,0,7,Julius Jones right end for -1 yards (tackle by Julian Peterson),0.040,-0.650
Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,DAL 17,0,7,Julius Jones up the middle for 14 yards (tackle by Shawntae Spencer),-0.650,1.000
2,14:24,1,10,DAL 31,0,7,Drew Bledsoe pass complete to Julius Jones for 2 yards (tackle by Andre Carter),1.000,0.730
2,13:56,2,8,DAL 33,0,7,Julius Jones left guard for 9 yards (tackle by Andre Carter and Tony Parrish),0.730,1.730
2,13:09,1,10,DAL 42,0,7,Tyson Thompson right end for 3 yards (tackle by Andre Carter),1.730,1.590
2,12:34,2,7,DAL 45,0,7,Drew Bledsoe pass incomplete intended for Jason Witten (defended by Corey Smith),1.590,0.890
2,12:26,3,7,DAL 45,0,7,Drew Bledsoe pass complete to Jason Witten for 17 yards (tackle by Mike Rumph),0.890,3.050
2,11:45,1,10,SFO 38,0,7,Drew Bledsoe pass complete to Jason Witten for 13 yards (tackle by Tony Parrish),3.050,3.910
2,11:05,1,10,SFO 25,0,7,Julius Jones left guard for 2 yards (tackle by Corey Smith),3.910,3.630
2,10:22,2,8,SFO 23,0,7,"Drew Bledsoe pass incomplete intended for Keyshawn Johnson. Penalty on Julian Peterson: Roughing the Passer, 12 yards (no play)",3.630,4.840
2,10:19,1,10,SFO 11,0,7,Julius Jones right end for -1 yards (tackle by Anthony Adams),4.840,3.980
2,9:40,2,11,SFO 12,0,7,Julius Jones right tackle for 6 yards (tackle by Derek Smith),3.980,4.210
2,8:53,3,5,SFO 6,6,7,"Drew Bledsoe up the middle for 6 yards, touchdown",4.210,7.000
2,,,,SFO 2,6,7,Jose Cortez kicks extra point no good,0.000,-1.000
2,,,,DAL 30,6,7,"Jose Cortez kicks off 76 yards, touchback",0.000,0.280
2,8:46,1,10,SFO 20,6,7,Kevan Barlow left tackle for 1 yard (tackle by Dat Nguyen),0.280,-0.130
2,8:24,2,9,SFO 21,6,7,"Kevan Barlow left guard for 4 yards (tackle by Bradie James and Roy Williams). Penalty on Jeremy Newberry: Offensive Holding, 10 yards (no play)",-0.130,-1.440
2,7:56,2,19,SFO 11,6,13,"Tim Rattay pass complete to Brandon Lloyd for 89 yards, touchdown",-1.440,7.000
2,,,,DAL 2,6,14,Joe Nedney kicks extra point good,0.000,0.000
2,,,,SFO 30,6,14,"Joe Nedney kicks off 61 yards, returned by Tyson Thompson for 15 yards (tackle by Keith Lewis)",0.000,0.540
