Unnamed: 0,DAL,SFO
First Downs,26,19
Rush-Yds-TDs,32-95-3,25-124-0
Cmp-Att-Yd-TD-INT,24-38-363-2-2,21-34-269-3-2
Sacked-Yards,2-15,2-3
Net Pass Yards,348,266
Total Yards,443,390
Fumbles-Lost,2-1,2-1
Turnovers,3,3
Penalties-Yards,6-45,8-67
Third Down Conv.,6-13,6-12
Fourth Down Conv.,1-3,0-0
Time of Possession,32:05,27:55
