Quarter,Time,Tm,Detail,BAL,NYJ
2,13:35,Jets,Curtis Martin 1 yard rush (Doug Brien kick),0,7
,3:43,Jets,Curtis Martin 9 yard rush (Doug Brien kick),0,14
,0:40,Ravens,Clarence Moore 6 yard pass from Kyle Boller (Matt Stover kick),7,14
3,8:34,Ravens,Matt Stover 24 yard field goal,10,14
4,4:13,Ravens,Clarence Moore 16 yard pass from Kyle Boller (Matt Stover kick),17,14
,0:05,Jets,Doug Brien 20 yard field goal,17,17
OT,7:35,Ravens,Matt Stover 42 yard field goal,20,17
