Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Toby Gowin kicks off 64 yards, returned by B.J. Sams for 26 yards (tackle by Oliver Celestin). B.J. Sams fumbles (forced by Oliver Celestin), recovered by Bart Scott at BAL-28",0.000,0.810
1,14:52,1,10,BAL 28,0,0,Jamal Lewis right tackle for 3 yards (tackle by Jonathan Vilma),0.810,0.670
1,14:05,2,7,BAL 31,0,0,"Penalty on Kyle Boller: Delay of Game, 5 yards (no play)",0.670,-0.010
1,13:50,2,12,BAL 26,0,0,Jamal Lewis left tackle for 3 yards (tackle by Jason Ferguson and John Abraham),-0.010,-0.300
1,13:11,3,9,BAL 29,0,0,Kyle Boller pass complete to Daniel Wilcox for 9 yards (tackle by Donnie Abraham),-0.300,1.470
1,12:25,1,10,BAL 38,0,0,Jamal Lewis right tackle for 3 yards (tackle by John Abraham),1.470,1.330
1,11:48,2,7,BAL 41,0,0,Kyle Boller sacked by John Abraham and Bryan Thomas for -9 yards,1.330,-0.560
1,11:12,3,16,BAL 32,0,0,Kyle Boller pass complete to Musa Smith for 25 yards (tackle by Eric Barton),-0.560,2.720
1,10:29,1,10,NYJ 43,0,0,Jamal Lewis up the middle for 5 yards (tackle by Dewayne Robertson and Eric Barton),2.720,2.850
1,9:52,2,5,NYJ 38,0,0,Kyle Boller pass complete to Clarence Moore for 9 yards (tackle by David Barrett),2.850,3.640
1,9:12,1,10,NYJ 29,0,0,Jamal Lewis right tackle for no gain (tackle by Trevor Johnson),3.640,3.100
1,8:38,2,10,NYJ 29,0,0,Jamal Lewis right guard for 11 yards (tackle by Reggie Tongue and Erik Coleman),3.100,4.370
1,8:38,1,10,NYJ 18,0,0,Kyle Boller pass complete to Clarence Moore for 10 yards (tackle by Terrell Buckley),4.370,5.370
1,7:19,1,8,NYJ 8,0,0,Jamal Lewis up the middle for 1 yard (tackle by Eric Barton and Trevor Johnson),5.370,4.760
1,6:43,2,7,NYJ 7,0,0,Jamal Lewis up the middle for 2 yards (tackle by Jonathan Vilma and Bryan Thomas),4.760,4.260
1,6:05,3,5,NYJ 5,0,0,Kyle Boller right guard for 4 yards (tackle by Jonathan Vilma),4.260,3.550
