Unnamed: 0,BAL,NYJ
First Downs,18,16
Rush-Yds-TDs,32-76-0,36-156-2
Cmp-Att-Yd-TD-INT,19-33-213-2-0,13-23-175-0-1
Sacked-Yards,3-27,5-26
Net Pass Yards,186,149
Total Yards,262,305
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,5-39,6-55
Third Down Conv.,6-17,7-16
Fourth Down Conv.,1-2,0-0
Time of Possession,33:56,33:29
