Unnamed: 0,DEN,NWE
First Downs,19,22
Rush-Yds-TDs,34-144-0,21-50-0
Cmp-Att-Yd-TD-INT,15-30-256-2-0,31-55-320-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,256,320
Total Yards,400,370
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,7-52,6-78
Third Down Conv.,7-16,4-16
Fourth Down Conv.,0-0,1-3
Time of Possession,31:45,28:15
