Quarter,Time,Down,ToGo,Location,STL,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,DET 20,0,0,Nate Burleson right end for 6 yards (tackle by Janoris Jenkins and Quintin Mikell),0.280,0.540
1,14:24,2,4,DET 26,0,0,Matthew Stafford pass complete short right to Calvin Johnson for 4 yards (tackle by Bradley Fletcher),0.540,0.940
1,13:45,1,10,DET 30,0,0,Kevin Smith right tackle for 6 yards (tackle by Cortland Finnegan),0.940,1.200
1,13:05,2,4,DET 36,0,0,Matthew Stafford pass complete short right to Will Heller for 5 yards (tackle by Janoris Jenkins),1.200,1.660
1,12:28,1,10,DET 41,0,0,Matthew Stafford pass complete short left to Nate Burleson for 5 yards (tackle by Cortland Finnegan),1.660,1.800
1,11:47,2,5,DET 46,0,0,Stefan Logan right end for 1 yard (tackle by Cortland Finnegan and James Laurinaitis),1.800,1.220
1,11:09,3,4,DET 47,0,0,Matthew Stafford pass complete short left to Tony Scheffler for 10 yards (tackle by James Laurinaitis),1.220,2.720
1,10:40,1,10,STL 43,0,0,"Penalty on Kendall Langford: Neutral Zone Infraction, 5 yards (no play)",2.720,3.450
1,10:18,1,5,STL 38,0,0,Matthew Stafford pass complete short left to Brandon Pettigrew for 6 yards (tackle by Jo-Lonn Dunbar),3.450,3.450
1,9:47,1,10,STL 32,0,0,Kevin Smith left end for 6 yards (tackle by James Laurinaitis),3.450,3.710
1,9:09,2,4,STL 26,0,0,Matthew Stafford pass complete short right to Kevin Smith for 9 yards (tackle by Cortland Finnegan),3.710,4.440
1,8:38,1,10,STL 17,0,0,Matthew Stafford pass incomplete deep middle intended for Brandon Pettigrew,4.440,3.850
1,8:33,2,10,STL 17,0,0,Matthew Stafford pass complete short middle to Will Heller for 14 yards (tackle by Quintin Mikell),3.850,6.510
1,7:54,1,3,STL 3,0,0,Matthew Stafford pass incomplete short right intended for Tony Scheffler is intercepted by Janoris Jenkins at STL-0 and returned for 34 yards (tackle by Kevin Smith),6.510,-1.200
1,7:46,1,10,STL 34,0,0,Steven Jackson right tackle for no gain (tackle by Justin Durant and DeAndre Levy),1.200,0.660
1,7:08,2,10,STL 34,0,0,"Steven Jackson left tackle for 2 yards (tackle by Justin Durant). Penalty on Robert Turner: Offensive Holding, 10 yards (no play)",0.660,-0.690
1,6:46,2,20,STL 24,0,0,Sam Bradford pass complete short right to Steven Jackson for 12 yards (tackle by Erik Coleman and Stephen Tulloch),-0.690,0.230
1,6:02,3,8,STL 36,0,0,Sam Bradford pass complete short middle to Danny Amendola for 15 yards (tackle by DeAndre Levy),0.230,2.320
1,5:23,1,10,DET 49,0,0,Sam Bradford pass complete short right to Lance Kendricks for 8 yards (tackle by Jacob Lacey),2.320,2.860
1,4:48,2,2,DET 41,0,0,Steven Jackson left tackle for 1 yard,2.860,2.280
1,4:13,3,1,DET 40,0,0,Steven Jackson left tackle for 7 yards (tackle by Justin Durant),2.280,3.380
1,3:34,1,10,DET 33,0,0,Steven Jackson right tackle for 1 yard,3.380,2.970
1,2:51,2,9,DET 32,0,0,"Sam Bradford pass incomplete deep right intended for Steve Smith. Penalty on Brandon Gibson: Unnecessary Roughness, 15 yards",2.970,0.300
1,2:45,3,24,DET 47,0,0,Sam Bradford pass complete short left to Danny Amendola for 17 yards (tackle by Jacob Lacey and John Wendling),0.300,1.410
1,2:02,4,7,DET 30,3,0,Greg Zuerlein 48 yard field goal good,1.410,3.000
1,1:57,,,STL 35,3,0,"Greg Zuerlein kicks off 74 yards, touchback",0.000,0.280
1,1:57,1,10,DET 20,3,0,Matthew Stafford pass incomplete short left intended for Nate Burleson,0.280,-0.270
1,1:53,2,10,DET 20,3,0,Kevin Smith left tackle for 5 yards (tackle by James Laurinaitis),-0.270,-0.300
1,1:15,3,5,DET 25,3,0,Matthew Stafford pass complete short right to Nate Burleson for 5 yards (tackle by Craig Dahl),-0.300,0.940
1,0:31,1,10,DET 30,3,0,Titus Young left end for 11 yards (tackle by Quintin Mikell),0.940,1.660
Quarter,Time,Down,ToGo,Location,STL,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 41,3,0,Matthew Stafford pass complete short right to Tony Scheffler for 8 yards (tackle by Janoris Jenkins and James Laurinaitis),1.660,2.200
2,14:17,2,2,DET 49,3,0,Kevin Smith left tackle for -2 yards (tackle by Jo-Lonn Dunbar),2.200,1.220
2,13:36,3,4,DET 47,3,0,Matthew Stafford pass complete short left to Calvin Johnson for 8 yards (tackle by Bradley Fletcher),1.220,2.590
2,13:00,1,10,STL 45,3,0,Kevin Smith left tackle for 19 yards (tackle by Robert Quinn),2.590,3.840
2,12:38,1,10,STL 26,3,0,Matthew Stafford pass complete short right to Brandon Pettigrew for 9 yards (tackle by James Laurinaitis),3.840,4.640
2,12:08,2,1,STL 17,3,0,Matthew Stafford pass complete short left to Tony Scheffler for 4 yards (tackle by Cortland Finnegan),4.640,4.710
2,11:36,1,10,STL 13,3,0,Keiland Williams left tackle for 2 yards (tackle by Quintin Mikell and James Laurinaitis),4.710,4.390
2,10:56,2,8,STL 11,3,0,Matthew Stafford pass complete short middle to Calvin Johnson for 10 yards (tackle by Craig Dahl),4.390,6.970
2,10:24,1,1,STL 1,3,0,Kevin Smith left tackle for no gain (tackle by James Laurinaitis),6.970,5.910
2,9:46,2,1,STL 1,3,6,"Joique Bell up the middle for 1 yard, touchdown",5.910,7.000
2,9:46,,,STL 2,3,7,Jason Hanson kicks extra point good,0.000,0.000
2,9:26,,,DET 35,3,7,"Jason Hanson kicks off 73 yards, touchback",0.000,0.280
2,9:26,1,10,STL 20,3,7,Sam Bradford pass incomplete short right intended for Danny Amendola,0.280,-0.270
2,9:22,2,10,STL 20,3,7,Steven Jackson up the middle for -2 yards (tackle by Ndamukong Suh),-0.270,-1.330
2,8:42,3,12,STL 18,3,7,Sam Bradford pass incomplete deep right intended for Chris Givens (defended by Drayton Florence),-1.330,-2.240
2,8:32,4,12,STL 18,3,7,", returned by Stefan Logan for 21 yards (tackle by Craig Dahl). John Hekker fumbles, recovered by John Hekker at STL-7. Penalty on Craig Dahl: Horse Collar Tackle, 15 yards",-2.240,-3.450
2,8:19,1,10,STL 32,3,7,Kevin Smith up the middle for 2 yards (tackle by Robert Quinn),3.450,3.170
2,7:54,2,8,STL 30,3,7,Matthew Stafford pass complete short middle to Titus Young for 14 yards (tackle by Janoris Jenkins),3.170,4.510
2,7:17,1,10,STL 16,3,7,Matthew Stafford pass incomplete short left intended for Brandon Pettigrew is intercepted by Jo-Lonn Dunbar at STL-14 and returned for 42 yards (tackle by Kevin Smith),4.510,-2.650
2,7:05,1,10,DET 44,3,7,Steven Jackson up the middle for 9 yards (tackle by Erik Coleman and John Wendling),2.650,3.330
2,6:33,2,1,DET 35,3,7,Steven Jackson left tackle for 3 yards (tackle by Erik Coleman),3.330,3.450
2,5:54,1,10,DET 32,3,7,Sam Bradford pass complete short right to Steven Jackson for 10 yards (tackle by Stephen Tulloch),3.450,4.110
2,5:14,1,10,DET 22,3,7,Daryl Richardson left end for 11 yards (tackle by Kyle Vanden Bosch),4.110,4.840
2,4:35,1,10,DET 11,3,7,Steven Jackson left tackle for 1 yard (tackle by Nick Fairley and Stephen Tulloch),4.840,4.320
2,3:56,2,9,DET 10,3,7,Sam Bradford pass complete short left to Steven Jackson for 4 yards (tackle by Erik Coleman),4.320,4.210
2,3:17,3,5,DET 6,3,7,Sam Bradford sacked by Nick Fairley for -5 yards,4.210,2.700
2,2:39,4,10,DET 11,6,7,Greg Zuerlein 29 yard field goal good,2.700,3.000
2,2:35,,,STL 35,6,7,"Greg Zuerlein kicks off 70 yards, returned by Stefan Logan for 18 yards (tackle by Rodney McLeod)",0.000,-0.320
2,2:30,1,10,DET 13,6,7,Matthew Stafford pass complete short left to Keiland Williams for 4 yards (tackle by Jo-Lonn Dunbar),-0.320,-0.300
2,2:00,2,6,DET 17,6,7,Matthew Stafford pass complete short left to Kevin Smith for 6 yards (tackle by Janoris Jenkins),-0.300,0.480
2,1:36,1,10,DET 23,12,7,"Matthew Stafford pass incomplete short right intended for Calvin Johnson is intercepted by Cortland Finnegan at DET-31 and returned for 31 yards, touchdown. Penalty on Titus Young: Unnecessary Roughness, 15 yards",0.480,-7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,,,,DET 2,13,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,1:28,,,,13,7,"Greg Zuerlein kicks off 27 yards, returned by Will Heller for 1 yard (tackle by Quinton Pointer)",0.000,0.540
2,1:24,1,10,DET 24,13,7,Matthew Stafford pass complete deep middle to Calvin Johnson for 51 yards (tackle by Craig Dahl),0.540,3.910
2,0:43,1,10,STL 25,13,7,Kevin Smith right tackle for 2 yards (tackle by Jo-Lonn Dunbar),3.910,0.000
2,0:39,,,,13,7,Timeout #1 by Detroit Lions,0.000,3.630
2,0:39,2,8,STL 23,13,7,Matthew Stafford pass incomplete deep right intended for Brandon Pettigrew,3.630,2.940
2,0:33,3,8,STL 23,13,7,Matthew Stafford pass incomplete deep right intended for Tony Scheffler (defended by Bradley Fletcher),2.940,1.930
2,0:25,4,8,STL 23,13,10,Jason Hanson 41 yard field goal good,1.930,3.000
2,0:20,,,DET 35,13,10,"Jason Hanson kicks off 72 yards, touchback",0.000,0.280
2,0:18,1,10,STL 20,13,10,Sam Bradford kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,STL,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,13,10,"Jason Hanson kicks off 70 yards, returned by Isaiah Pead for 25 yards (tackle by Keiland Williams)",0.000,0.280
