Quarter,Time,Tm,Detail,CAR,ATL
1.0,10:04,Falcons,Tony Gonzalez 6 yard pass from Matt Ryan (Matt Bryant kick),0,7
,4:24,Falcons,Eric Weems 55 yard punt return (Matt Bryant kick),0,14
2.0,0:51,Falcons,Roddy White 14 yard pass from Matt Ryan (Matt Bryant kick),0,21
3.0,12:30,Panthers,John Kasay 23 yard field goal,3,21
,9:46,Falcons,Matt Bryant 47 yard field goal,3,24
,2:00,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),3,31
4.0,0:23,Panthers,Jeff King 2 yard pass from Jimmy Clausen (John Kasay kick),10,31
