Unnamed: 0,CAR,ATL
First Downs,12,24
Rush-Yds-TDs,19-137-0,32-99-1
Cmp-Att-Yd-TD-INT,19-34-182-1-1,26-38-256-2-0
Sacked-Yards,3-28,1-3
Net Pass Yards,154,253
Total Yards,291,352
Fumbles-Lost,4-1,2-1
Turnovers,2,1
Penalties-Yards,10-97,4-20
Third Down Conv.,3-13,4-11
Fourth Down Conv.,0-1,0-2
Time of Possession,24:30,35:30
