Quarter,Time,Tm,Detail,JAX,TEN
1.0,9:30,Titans,Derrick Henry 3 yard rush (Ryan Succop kick),0,7
,0:45,Jaguars,"Safety, Cameron Batson tackled in end zone by Leon Jacobs",2,7
2.0,7:07,Titans,Derrick Henry 99 yard rush (Ryan Succop kick failed),2,13
,0:05,Titans,Ryan Succop 33 yard field goal,2,16
3.0,7:19,Titans,Derrick Henry 16 yard rush (Ryan Succop kick),2,23
,5:30,Titans,Derrick Henry 54 yard rush (Ryan Succop kick),2,30
,1:49,Jaguars,Dede Westbrook 7 yard pass from Cody Kessler (Josh Lambo kick),9,30
