Unnamed: 0,JAX,TEN
First Downs,17,21
Rush-Yds-TDs,20-60-0,32-264-4
Cmp-Att-Yd-TD-INT,25-43-240-1-0,18-24-162-0-1
Sacked-Yards,4-45,1-0
Net Pass Yards,195,162
Total Yards,255,426
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,7-67,3-30
Third Down Conv.,2-12,7-11
Fourth Down Conv.,2-5,0-1
Time of Possession,30:40,29:20
