Quarter,Time,Tm,Detail,OAK,PIT
1.0,9:50,Raiders,Sebastian Janikowski 41 yard field goal,3,0
2.0,13:29,Steelers,Rashard Mendenhall 5 yard rush (Shaun Suisham kick),3,7
,4:01,Steelers,Ben Roethlisberger 16 yard rush (Shaun Suisham kick),3,14
,1:26,Steelers,Emmanuel Sanders 22 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,21
4.0,14:49,Steelers,Mike Wallace 52 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,28
,1:12,Steelers,Isaac Redman 16 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,35
