Unnamed: 0,OAK,PIT
First Downs,17,18
Rush-Yds-TDs,16-61-0,33-162-2
Cmp-Att-Yd-TD-INT,20-43-168-0-2,18-29-275-3-0
Sacked-Yards,6-47,2-6
Net Pass Yards,121,269
Total Yards,182,431
Fumbles-Lost,3-1,1-1
Turnovers,3,1
Penalties-Yards,7-55,14-163
Third Down Conv.,3-14,7-14
Fourth Down Conv.,0-1,0-0
Time of Possession,27:13,32:47
