Unnamed: 0,DEN,BAL
First Downs,18,20
Rush-Yds-TDs,24-120-2,28-77-2
Cmp-Att-Yd-TD-INT,22-34-192-0-1,25-40-277-1-0
Sacked-Yards,3-19,2-12
Net Pass Yards,173,265
Total Yards,293,342
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,13-120,7-52
Third Down Conv.,6-14,8-16
Fourth Down Conv.,0-1,0-0
Time of Possession,29:46,30:14
