Quarter,Time,Tm,Detail,DEN,BAL
1.0,13:29,Broncos,Royce Freeman 6 yard rush (Brandon McManus kick),7,0
,10:57,Ravens,Alex Collins 6 yard rush (Justin Tucker kick),7,7
,7:02,Broncos,Emmanuel Sanders 35 yard rush (Brandon McManus kick),14,7
,3:38,Ravens,Justin Tucker 52 yard field goal,14,10
2.0,8:26,Ravens,Javorius Allen 12 yard pass from Joe Flacco (Justin Tucker kick),14,17
,0:00,Ravens,Justin Tucker 52 yard field goal,14,20
3.0,7:26,Ravens,Javorius Allen 1 yard rush (Justin Tucker kick),14,27
