Unnamed: 0,CAR,TAM
First Downs,17,23
Rush-Yds-TDs,29-59-2,14-42-2
Cmp-Att-Yd-TD-INT,20-32-227-2-0,30-54-400-1-5
Sacked-Yards,2-18,7-35
Net Pass Yards,209,365
Total Yards,268,407
Fumbles-Lost,1-1,4-2
Turnovers,1,7
Penalties-Yards,3-30,9-70
Third Down Conv.,3-15,5-15
Fourth Down Conv.,1-1,1-2
Time of Possession,31:10,28:50
