Quarter,Time,Tm,Detail,LAR,SFO
1.0,7:27,49ers,Elijah Mitchell 1 yard rush (Jake Moody kick),0,7
,1:53,Rams,Puka Nacua 19 yard pass from Carson Wentz (Brett Maher kick),7,7
2.0,6:59,49ers,Sam Darnold 1 yard rush (Jake Moody kick),7,14
,0:11,49ers,Ronnie Bell 5 yard pass from Sam Darnold (Jake Moody kick failed),7,20
3.0,4:45,Rams,Tyler Johnson 8 yard pass from Carson Wentz (Brett Maher kick failed),13,20
4.0,4:56,Rams,Carson Wentz 12 yard rush (Tutu Atwell pass from Carson Wentz),21,20
