Unnamed: 0,LAR,SFO
First Downs,19,20
Rush-Yds-TDs,36-109-1,29-125-2
Cmp-Att-Yd-TD-INT,17-24-163-2-1,16-26-189-1-0
Sacked-Yards,2-14,3-14
Net Pass Yards,149,175
Total Yards,258,300
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,2-8,5-78
Third Down Conv.,9-15,5-10
Fourth Down Conv.,3-4,1-1
Time of Possession,31:00,29:00
