Quarter,Time,Tm,Detail,SDG,TAM
1.0,13:57,Chargers,Danario Alexander 80 yard pass from Philip Rivers (Nick Novak kick),7,0
,8:57,Buccaneers,Dallas Clark 3 yard pass from Josh Freeman (Connor Barth kick),7,7
,4:19,Chargers,Antonio Gates 13 yard pass from Philip Rivers (Nick Novak kick),14,7
2.0,12:52,Buccaneers,Connor Barth 40 yard field goal,14,10
,8:55,Buccaneers,Adam Hayward 29 yard blocked punt return (Connor Barth kick),14,17
,0:27,Chargers,Malcom Floyd 3 yard pass from Philip Rivers (Nick Novak kick),21,17
3.0,4:07,Buccaneers,Tiquan Underwood 15 yard pass from Josh Freeman (Connor Barth kick),21,24
4.0,13:22,Buccaneers,Leonard Johnson 83 yard interception return (Connor Barth kick),21,31
,7:02,Chargers,Nick Novak 34 yard field goal,24,31
,1:07,Buccaneers,Connor Barth 45 yard field goal,24,34
