Unnamed: 0,SDG,TAM
First Downs,23,12
Rush-Yds-TDs,26-103-0,22-74-0
Cmp-Att-Yd-TD-INT,29-37-337-3-2,14-20-210-2-0
Sacked-Yards,2-14,1-5
Net Pass Yards,323,205
Total Yards,426,279
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,1-5,1-5
Third Down Conv.,10-15,3-9
Fourth Down Conv.,0-0,1-1
Time of Possession,36:41,23:19
