Unnamed: 0,DAL,NWE
First Downs,32,17
Rush-Yds-TDs,31-122-0,27-120-2
Cmp-Att-Yd-TD-INT,36-51-445-3-1,15-21-229-2-1
Sacked-Yards,0-0,2-14
Net Pass Yards,445,215
Total Yards,567,335
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,12-115,5-47
Third Down Conv.,3-13,3-9
Fourth Down Conv.,2-4,0-0
Time of Possession,39:17,26:51
