Quarter,Time,Tm,Detail,DAL,NWE
1,10:20,Patriots,Damien Harris 4 yard rush (Nick Folk kick),0,7
,6:43,Cowboys,Blake Jarwin 1 yard pass from Dak Prescott (Greg Zuerlein kick),7,7
,4:50,Patriots,Hunter Henry 20 yard pass from Mac Jones (Nick Folk kick),7,14
2,6:39,Cowboys,Greg Zuerlein 30 yard field goal,10,14
3,4:49,Cowboys,CeeDee Lamb 1 yard pass from Dak Prescott (Greg Zuerlein kick),17,14
4,13:13,Cowboys,Greg Zuerlein 45 yard field goal,20,14
,6:23,Patriots,Rhamondre Stevenson 1 yard rush (Nick Folk kick),20,21
,2:27,Cowboys,Trevon Diggs 42 yard interception return (pass failed),26,21
,2:11,Patriots,Kendrick Bourne 75 yard pass from Mac Jones (Jakobi Meyers pass from Mac Jones),26,29
,0:20,Cowboys,Greg Zuerlein 49 yard field goal,29,29
OT,3:52,Cowboys,CeeDee Lamb 35 yard pass from Dak Prescott,35,29
