Unnamed: 0,NWE,BUF
First Downs,19,16
Rush-Yds-TDs,34-109-1,23-105-0
Cmp-Att-Yd-TD-INT,11-23-115-1-1,18-27-177-1-1
Sacked-Yards,0-0,6-41
Net Pass Yards,115,136
Total Yards,224,241
Fumbles-Lost,0-0,3-0
Turnovers,1,1
Penalties-Yards,6-52,11-124
Third Down Conv.,5-12,2-12
Fourth Down Conv.,0-0,2-3
Time of Possession,26:28,33:32
