Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
2,11:45,1,10,TEN 41,10,7,Derrick Henry left tackle for 8 yards (tackle by Rayshawn Jenkins and Josh Allen),1.660,2.200
2,11:02,2,2,TEN 49,10,7,Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins,2.200,1.490
2,10:55,3,2,TEN 49,10,7,Tyjae Spears left end for 22 yards (tackle by Rayshawn Jenkins),1.490,3.640
2,10:13,1,10,JAX 29,10,7,Derrick Henry right guard for 3 yards (tackle by Devin Lloyd),3.640,3.510
2,9:27,2,7,JAX 26,10,7,Ryan Tannehill pass incomplete deep right intended for Kevin Rader,3.510,2.810
2,9:23,3,7,JAX 26,10,7,Ryan Tannehill pass complete short right to Chris Moore for 8 yards (tackle by Rayshawn Jenkins),2.810,4.370
2,8:33,1,10,JAX 18,10,13,"Derrick Henry left tackle for 18 yards, touchdown",4.370,7.000
2,8:27,,,JAX 15,10,14,Nick Folk kicks extra point good,0.000,0.000
2,8:27,,,TEN 35,10,14,"Ty Zentner kicks off 57 yards, returned by Tank Bigsby for 16 yards (tackle by K'Von Wallace)",0.000,0.540
2,8:15,1,10,JAX 24,10,14,"Trevor Lawrence pass complete short left to Travis Etienne for no gain (tackle by Harold Landry). Penalty on Roger McCreary: Illegal Contact, 5 yards (accepted) (no play)",0.540,0.870
2,8:01,1,10,JAX 29,10,14,Travis Etienne left tackle for 6 yards (tackle by Elijah Molden and Otis Reese),0.870,1.140
2,7:23,2,4,JAX 35,10,14,Travis Etienne up the middle for 1 yard (tackle by Arden Key and Roger McCreary),1.140,0.560
2,6:40,3,3,JAX 36,10,14,"Trevor Lawrence pass short left intended for Evan Engram is intercepted by Terrell Edmunds at JAC-38 and returned for 2 yards (tackle by Ezra Cleveland) Replay Assistant challenged the pass interception ruling, and the play was upheld.",0.560,-3.180
2,6:33,1,10,JAX 36,10,14,Tyjae Spears right end for no gain (tackle by Devin Lloyd and Tyson Campbell),3.180,2.640
2,5:45,2,10,JAX 36,10,14,"Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins. Penalty on Tyson Campbell: Defensive Holding, 5 yards (accepted) (no play)",2.640,3.510
2,5:45,1,10,JAX 31,10,14,Derrick Henry left guard for 3 yards (tackle by Foyesade Oluokun and DaVon Hamilton),3.510,3.370
2,5:25,2,7,JAX 28,10,14,Ryan Tannehill pass complete short left to DeAndre Hopkins for 6 yards (tackle by Tyson Campbell),3.370,3.470
2,4:36,3,1,JAX 22,10,14,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 15 yards (tackle by Rayshawn Jenkins and Josh Allen),3.470,5.600
2,3:55,1,7,JAX 7,10,14,Derrick Henry right end for 4 yards (tackle by Foyesade Oluokun and Darious Williams),5.600,5.530
2,3:08,2,3,JAX 3,10,20,"Tyjae Spears up the middle for 3 yards, touchdown",5.530,7.000
