Unnamed: 0,JAX,TEN
First Downs,20,19
Rush-Yds-TDs,23-82-0,26-175-2
Cmp-Att-Yd-TD-INT,29-43-280-2-2,17-27-168-2-1
Sacked-Yards,0-0,2-16
Net Pass Yards,280,152
Total Yards,362,327
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,6-40,5-29
Third Down Conv.,8-14,6-11
Fourth Down Conv.,0-3,0-1
Time of Possession,32:17,27:43
