Unnamed: 0,ARI,SFO
First Downs,17,25
Rush-Yds-TDs,37-172-2,36-151-2
Cmp-Att-Yd-TD-INT,11-28-124-2-0,18-31-162-1-2
Sacked-Yards,1-8,7-27
Net Pass Yards,116,135
Total Yards,288,286
Fumbles-Lost,2-0,2-1
Turnovers,0,3
Penalties-Yards,7-50,4-34
Third Down Conv.,5-16,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,31:44,28:16
