Unnamed: 0,BUF,MIA
First Downs,19,19
Rush-Yds-TDs,27-119-1,27-52-1
Cmp-Att-Yd-TD-INT,21-35-227-0-1,22-30-314-1-0
Sacked-Yards,2-7,1-8
Net Pass Yards,220,306
Total Yards,339,358
Fumbles-Lost,5-3,2-1
Turnovers,4,1
Penalties-Yards,7-64,7-51
Third Down Conv.,4-14,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,28:48,31:12
