Quarter,Time,Tm,Detail,BUF,MIA
1.0,9:26,Dolphins,Anthony Fasano 2 yard pass from Chad Pennington (Dan Carpenter kick),0,7
,4:21,Bills,Rian Lindell 19 yard field goal,3,7
2.0,8:19,Bills,Rian Lindell 43 yard field goal,6,7
,0:00,Bills,Rian Lindell 47 yard field goal,9,7
3.0,10:17,Bills,Marshawn Lynch 8 yard rush (Rian Lindell kick),16,7
,7:56,Dolphins,Dan Carpenter 43 yard field goal,16,10
,1:15,Dolphins,Ricky Williams 3 yard rush (Dan Carpenter kick),16,17
4.0,13:17,Dolphins,Dan Carpenter 45 yard field goal,16,20
,7:40,Dolphins,"Safety, Duke Preston tackled by Charlie Anderson in the end zone.",16,22
,3:53,Dolphins,Dan Carpenter 35 yard field goal,16,25
