Quarter,Time,Tm,Detail,CAR,NYG
1.0,9:46,Panthers,Steve Smith Sr. 53 yard punt return (John Kasay kick),7,0
,1:56,Panthers,John Kasay 42 yard field goal,10,0
,0:51,Panthers,Ricky Manning 27 yard interception return (John Kasay kick),17,0
2.0,13:19,Panthers,John Kasay 33 yard field goal,20,0
,8:57,Giants,Matt Bryant 28 yard field goal,20,3
,7:50,Giants,Amani Toomer 7 yard pass from Jesse Palmer (Matt Bryant kick),20,10
,3:44,Panthers,Muhsin Muhammad 1 yard pass from Jake Delhomme (John Kasay kick),27,10
,0:00,Panthers,John Kasay 34 yard field goal,30,10
3.0,10:45,Giants,Visanthe Shiancoe 1 yard pass from Jesse Palmer (Matt Bryant kick),30,17
,4:22,Panthers,Ricky Proehl 5 yard pass from Jake Delhomme (John Kasay kick),37,17
4.0,14:47,Giants,Keith Washington defensive fumble recovery in end zone (Matt Bryant kick),37,24
