Unnamed: 0,MIA,NOR
First Downs,20,14
Rush-Yds-TDs,47-188-0,17-90-0
Cmp-Att-Yd-TD-INT,16-28-168-1-1,14-31-181-0-1
Sacked-Yards,2-14,6-68
Net Pass Yards,154,113
Total Yards,342,203
Fumbles-Lost,2-1,3-1
Turnovers,2,2
Penalties-Yards,5-34,8-77
Third Down Conv.,7-18,0-11
Fourth Down Conv.,0-0,0-2
Time of Possession,36:23,23:37
