Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
1,6:52,4,7,MIA 8,0,3,John Carney 26 yard field goal good,2.960,3.000
1,,,,NOR 30,0,3,"Mitch Berger kicks off 74 yards, returned by Wes Welker for 23 yards (tackle by Steve Gleason). Penalty on Alonzo Ephraim: Offensive Holding, 9 yards",0.000,-0.380
1,6:43,1,10,MIA 10,0,3,Ronnie Brown right tackle for 1 yard (tackle by Will Smith),-0.380,-0.710
1,6:08,2,9,MIA 11,0,3,Ricky Williams right end for 11 yards (tackle by Josh Bullocks),-0.710,0.410
1,5:29,1,10,MIA 22,0,3,"Gus Frerotte pass complete to David Boston for 54 yards (tackle by Fred Thomas and Mike McKenzie). Penalty on Mike McKenzie: Face Mask (15 Yards), 12 yards",0.410,4.780
1,5:07,1,10,NOR 12,0,3,Ronnie Brown left guard for 1 yard (tackle by Sedrick Hodge),4.780,4.270
1,4:36,2,9,NOR 11,0,3,Ricky Williams right guard for 5 yards (tackle by Dwight Smith and Ronald McKinnon),4.270,4.380
1,4:00,3,4,NOR 6,0,3,"Gus Frerotte pass incomplete is intercepted by Dwight Smith and returned for 28 yards. Dwight Smith fumbles, recovered by Vernon Carey at NOR-29",4.380,3.640
1,3:47,1,10,NOR 29,0,3,Ricky Williams left end for no gain (tackle by Charles Grant),3.640,3.100
1,3:09,2,10,NOR 29,0,3,Ricky Williams right end for 3 yards (tackle by Ronald McKinnon and Mike McKenzie),3.100,2.810
1,2:41,3,7,NOR 26,0,3,Gus Frerotte pass complete to Wes Welker for 7 yards (tackle by Fred Thomas),2.810,4.310
1,2:07,1,10,NOR 19,0,3,Ronnie Brown right tackle for 3 yards (tackle by Josh Bullocks and Sedrick Hodge),4.310,4.180
1,1:26,2,7,NOR 16,0,3,Ricky Williams left end for -3 yards (tackle by Tony Bryant and Darren Howard),4.180,3.030
1,0:43,3,10,NOR 19,0,3,Gus Frerotte pass incomplete intended for Wes Welker,3.030,2.180
1,0:37,4,10,NOR 19,3,3,Olindo Mare 37 yard field goal good,2.180,3.000
1,,,,MIA 30,3,3,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
1,0:33,1,10,NOR 20,3,3,Aaron Brooks pass complete to Joe Horn for 16 yards (tackle by Kiwaukee Thomas),0.280,1.330
Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 36,3,3,Aaron Stecker right tackle for 1 yard (tackle by Vonnie Holliday and Keith Traylor),1.330,0.930
2,14:27,2,9,NOR 37,3,3,Aaron Stecker left end for 8 yards (tackle by Lance Schulters),0.930,1.290
2,13:47,3,1,NOR 45,3,3,Mike Karney up the middle for no gain (tackle by Jason Taylor and Keith Traylor),1.290,-0.390
2,13:02,4,1,NOR 45,3,3,"Mitch Berger punts 55 yards, touchback",-0.390,-0.280
2,12:52,1,10,MIA 20,3,3,Gus Frerotte pass complete to Wes Welker for 8 yards (tackle by Fakhir Brown),0.280,0.810
2,12:33,2,2,MIA 28,3,3,Ricky Williams left end for 8 yards (tackle by Dwight Smith),0.810,1.330
2,12:08,1,10,MIA 36,3,3,Ricky Williams right guard for 2 yards (tackle by Johnathan Sullivan and Josh Bullocks),1.330,1.060
2,11:32,2,8,MIA 38,3,3,Gus Frerotte pass complete to Randy McMichael for 5 yards (tackle by Dwight Smith),1.060,1.030
2,11:05,3,3,MIA 43,3,3,Gus Frerotte pass complete to Marty Booker for 12 yards (tackle by Josh Bullocks and Fakhir Brown),1.030,2.590
2,10:33,1,10,NOR 45,3,3,Ronnie Brown left tackle for 4 yards (tackle by Sedrick Hodge and Darren Howard),2.590,2.580
2,10:00,2,6,NOR 41,3,3,Chris Chambers right end for 1 yard (tackle by Dwight Smith),2.580,2.010
2,9:31,3,5,NOR 40,3,3,Gus Frerotte pass complete to Ronnie Brown for 9 yards (tackle by Ronald McKinnon),2.010,3.510
2,9:09,1,10,NOR 31,3,3,Ricky Williams right tackle for 5 yards (tackle by Johnathan Sullivan),3.510,3.640
2,8:36,2,5,NOR 26,3,3,Ricky Williams left guard for 6 yards (tackle by Ronald McKinnon),3.640,4.240
2,8:06,1,10,NOR 20,3,3,Ricky Williams left guard for 2 yards (tackle by Darren Howard and Brian Young),4.240,3.960
2,7:30,2,8,NOR 18,3,3,Gus Frerotte pass incomplete intended for Ronnie Brown,3.960,3.220
2,7:26,3,8,NOR 18,3,3,Gus Frerotte pass incomplete (defended by Josh Bullocks),3.220,2.250
2,7:22,4,8,NOR 18,6,3,Olindo Mare 36 yard field goal good,2.250,3.000
2,,,,MIA 30,6,3,"Olindo Mare kicks off 71 yards, returned by Aaron Stecker for 26 yards (tackle by Derrick Pope)",0.000,0.610
2,7:10,1,10,NOR 25,6,3,Antowain Smith up the middle for 2 yards (tackle by Channing Crowder and Jeff Zgonina),0.610,0.330
2,6:32,2,8,NOR 27,6,3,Aaron Brooks sacked by Keith Traylor for -12 yards,0.330,-2.350
2,6:00,3,20,NOR 15,6,3,Aaron Brooks pass complete to Aaron Stecker for -2 yards (tackle by David Bowens),-2.350,-2.490
2,5:26,4,22,NOR 13,6,3,"Mitch Berger punts 53 yards, fair catch by Wes Welker. Penalty on Will Heller: Defensive Offside (Declined)",-2.490,-1.200
2,5:17,1,10,MIA 34,6,3,Gus Frerotte pass complete to Ronnie Brown for 3 yards (tackle by Sedrick Hodge),1.200,1.060
2,4:40,2,7,MIA 37,6,3,Ronnie Brown left guard for -1 yards (tackle by Johnathan Sullivan),1.060,0.230
2,4:02,3,8,MIA 36,6,3,Ricky Williams up the middle for 5 yards (tackle by Charles Grant and Jason Craft),0.230,-0.650
2,3:22,4,3,MIA 41,6,3,"Donnie Jones punts 59 yards, touchback",-0.650,-0.280
2,3:14,1,10,NOR 20,6,3,Aaron Brooks pass complete to Joe Horn for 30 yards (tackle by Travares Tillman),0.280,2.260
2,2:27,1,10,NOR 50,6,3,Aaron Brooks sacked by Vonnie Holliday for -9 yards,2.260,0.500
2,2:22,,,,6,3,Timeout #1 by New Orleans Saints,0.000,0.500
2,2:22,2,19,NOR 41,6,3,Aaron Brooks pass complete to Donte' Stallworth for 13 yards (tackle by Zach Thomas),0.500,1.550
2,2:00,3,6,MIA 46,6,3,Aaron Brooks sacked by Yeremiah Bell for -26 yards. Penalty on Jammal Brown: Illegal Formation (Declined),1.550,-1.500
2,1:49,4,32,NOR 28,6,3,"Mitch Berger punts 32 yards, fair catch by Wes Welker",-1.500,-1.600
2,1:43,1,10,MIA 40,6,3,Gus Frerotte pass complete to Chris Chambers for 9 yards (tackle by Mike McKenzie),1.600,2.270
2,1:16,2,1,MIA 49,6,3,Ronnie Brown up the middle for 13 yards (tackle by Courtney Watson),2.270,3.050
2,0:53,1,10,NOR 38,6,3,Gus Frerotte pass complete to Chris Chambers for 7 yards (tackle by Fred Thomas),3.050,3.450
2,0:43,,,,6,3,Timeout #1 by Miami Dolphins,0.000,3.450
2,0:43,2,3,NOR 31,6,3,Gus Frerotte pass complete to Wes Welker for 2 yards (tackle by Mike McKenzie),3.450,3.010
2,0:37,3,1,NOR 29,6,3,Ronnie Brown right guard for 2 yards (tackle by Dwight Smith and Courtney Watson),3.010,3.780
2,0:32,,,,6,3,Timeout #2 by Miami Dolphins,0.000,3.780
2,0:32,1,10,NOR 27,6,3,Gus Frerotte pass incomplete intended for Randy McMichael,3.780,3.230
2,0:27,2,10,NOR 27,6,3,Gus Frerotte pass complete to Randy McMichael for 4 yards (tackle by Mike McKenzie),3.230,3.070
2,0:02,,,,6,3,Timeout #3 by Miami Dolphins,0.000,0.000
2,0:02,,,,6,3,Timeout #2 by New Orleans Saints,0.000,3.070
2,0:02,3,6,NOR 23,9,3,Olindo Mare 41 yard field goal good,3.070,3.000
Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,9,3,"Olindo Mare kicks off 73 yards, returned by Aaron Stecker for 29 yards (tackle by Jason Glenn)",0.000,0.670
3,14:56,1,10,NOR 26,9,3,Aaron Brooks up the middle for 6 yards (tackle by Vonnie Holliday and Channing Crowder),0.670,0.940
3,14:09,2,4,NOR 32,9,3,Aaron Brooks pass complete to Joe Horn for 6 yards (tackle by Travis Daniels),0.940,1.470
3,13:44,1,10,NOR 38,9,3,Antowain Smith up the middle for 1 yard (tackle by Kevin Carter and Jeff Zgonina),1.470,1.060
3,13:05,2,9,NOR 39,9,3,Aaron Brooks pass complete to Joe Horn for 3 yards (tackle by Channing Crowder),1.060,0.760
3,12:20,3,6,NOR 42,9,3,Aaron Brooks pass incomplete intended for Devery Henderson is intercepted by Reggie Howard at NOR-46 and returned for 5 yards,0.760,-2.850
3,12:13,1,10,NOR 41,9,3,Ronnie Brown left guard for 2 yards (tackle by Darren Howard and Willie Whitehead),2.850,2.580
3,11:38,2,8,NOR 39,9,3,Gus Frerotte pass incomplete intended for Randy McMichael,2.580,1.880
3,11:33,3,8,NOR 39,9,3,Gus Frerotte pass incomplete intended for Wes Welker,1.880,0.660
3,11:33,4,8,NOR 39,9,3,Penalty on Yeremiah Bell: False Start (Declined),0.660,0.660
3,11:28,4,8,NOR 39,9,3,"Donnie Jones punts 39 yards, touchback",0.660,-0.280
3,11:21,1,10,NOR 20,9,3,Aaron Brooks pass complete to Devery Henderson for 14 yards (tackle by Travis Daniels),0.280,1.200
3,10:53,1,10,NOR 34,9,3,Aaron Brooks pass complete to Aaron Stecker for 11 yards (tackle by Channing Crowder),1.200,1.930
3,10:28,1,10,NOR 45,9,3,Aaron Stecker for 6 yards (tackle by Channing Crowder),1.930,2.190
3,10:05,2,4,MIA 49,9,3,Aaron Brooks right guard for 1 yard (tackle by Vonnie Holliday),2.190,1.620
3,9:32,3,3,MIA 48,9,3,"Aaron Brooks for no gain. Aaron Brooks fumbles, recovered by Aaron Brooks at 50",1.620,-0.060
3,9:09,4,5,NOR 50,9,3,Mitch Berger punts 43 yards,-0.060,0.380
3,8:58,1,10,MIA 7,9,3,Ronnie Brown left guard for 2 yards (tackle by Ronald McKinnon and Steve Gleason),-0.380,-0.630
3,8:19,2,8,MIA 9,9,3,Gus Frerotte for 5 yards (tackle by Sedrick Hodge),-0.630,-0.600
3,7:53,3,3,MIA 14,9,3,Ronnie Brown left end for 18 yards (tackle by Fred Thomas),-0.600,1.070
3,7:30,1,10,MIA 32,9,3,Gus Frerotte pass complete to Chris Chambers for -3 yards (tackle by Mike McKenzie),1.070,0.120
3,6:50,2,13,MIA 29,9,3,Ricky Williams up the middle for 13 yards (tackle by Charles Grant),0.120,1.730
3,6:07,1,10,MIA 42,9,3,Ricky Williams right end for 1 yard (tackle by Ronald McKinnon and Johnathan Sullivan),1.730,1.320
3,5:26,2,9,MIA 43,9,3,Gus Frerotte sacked by Will Smith for -9 yards,1.320,-0.560
3,4:52,3,18,MIA 34,9,3,"Gus Frerotte sacked by Darren Howard for -9 yards. Gus Frerotte fumbles (forced by Darren Howard), recovered by Darren Howard at MIA-29 (tackle by Rex Hadnot)",-0.560,-3.640
3,4:42,1,10,MIA 29,9,3,"Aaron Brooks pass incomplete intended for Joe Horn. Penalty on Wayne Gandy: Offensive Holding, 10 yards (no play)",3.640,2.980
3,4:33,1,20,MIA 39,9,3,Aaron Brooks pass incomplete intended for Shad Meier,2.980,1.750
3,4:27,2,20,MIA 39,9,3,Aaron Stecker up the middle for 8 yards (tackle by Jason Taylor),1.750,2.150
3,3:48,3,12,MIA 31,9,3,Aaron Brooks pass incomplete intended for Aaron Stecker,2.150,1.320
3,3:42,4,12,MIA 31,9,6,John Carney 49 yard field goal good,1.320,3.000
3,,,,NOR 30,9,6,"Mitch Berger kicks off 60 yards, returned by Wes Welker for 16 yards (tackle by Fred McAfee)",0.000,0.670
3,3:32,1,10,MIA 26,9,6,Ricky Williams right guard for 5 yards (tackle by Sedrick Hodge and Willie Whitehead),0.670,0.810
3,2:59,2,5,MIA 31,9,6,Gus Frerotte pass incomplete intended for Randy McMichael,0.810,0.100
3,2:53,3,5,MIA 31,9,6,Gus Frerotte pass incomplete intended for Lorenzo Diamond,0.100,-1.310
3,2:49,4,5,MIA 31,9,6,Donnie Jones punts 54 yards,-1.310,0.220
3,2:37,1,10,NOR 15,9,6,"Aaron Brooks sacked for -7 yards. Aaron Brooks fumbles, recovered by Aaron Brooks at NOR-8",-0.220,-1.290
3,2:07,2,17,NOR 8,9,6,Aaron Brooks pass incomplete intended for Joe Horn,-1.290,-2.240
3,2:00,3,17,NOR 8,11,6,"Aaron Brooks sacked by Kevin Carter for -8 yards, safety",-2.240,-2.000
3,,,,NOR 20,11,6,"Mitch Berger kicks off 49 yards, returned by Wes Welker for 3 yards (tackle by Fred McAfee). Penalty on Steve Gleason: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,,,,NOR 15,11,6,"Mitch Berger kicks off 53 yards, returned by Wes Welker for 17 yards (tackle by Jason Craft)",0.000,2.190
3,1:43,1,10,MIA 49,11,6,Gus Frerotte pass complete to Marty Booker for 20 yards (tackle by Sedrick Hodge),2.190,3.510
3,1:05,1,10,NOR 31,11,6,Ricky Williams left tackle for 16 yards (tackle by Dwight Smith and Fred Thomas),3.510,4.580
3,0:26,1,10,NOR 15,11,6,Ricky Williams right guard for 4 yards (tackle by Josh Bullocks),4.580,4.640
Quarter,Time,Down,ToGo,Location,MIA,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,NOR 11,11,6,Ricky Williams right guard for -1 yards (tackle by Darren Howard),4.640,3.580
4,14:16,3,7,NOR 12,17,6,"Gus Frerotte pass complete to Chris Chambers for 12 yards, touchdown",3.580,7.000
4,,,,NOR 2,18,6,Olindo Mare kicks extra point good,0.000,0.000
4,,,,MIA 30,18,6,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
4,14:09,1,10,NOR 20,18,6,"Aaron Brooks sacked by Donnie Spragan for -7 yards. Aaron Brooks fumbles (forced by Donnie Spragan), recovered by Mike Karney at NOR-18. Penalty on Jason Taylor: Illegal Contact, 5 yards (no play)",0.280,0.610
4,13:42,1,10,NOR 25,18,6,Aaron Brooks pass incomplete intended for Devery Henderson,0.610,0.060
4,13:37,2,10,NOR 25,18,6,Aaron Brooks pass incomplete intended for Antowain Smith (defended by Jason Taylor),0.060,-0.620
4,13:32,3,10,NOR 25,18,6,"Penalty on Aaron Brooks: Delay of Game, 5 yards (no play)",-0.620,-1.290
4,13:32,3,15,NOR 20,18,6,Aaron Brooks pass incomplete intended for Devery Henderson,-1.290,-2.030
4,13:25,4,15,NOR 20,18,6,Mitch Berger punts 51 yards (tackle by Sedrick Hodge). Penalty on Derrick Pope: Running Into the Kicker (Declined),-2.030,-1.600
4,13:14,1,10,MIA 40,18,6,Ronnie Brown left guard for 6 yards (tackle by Colby Bockwoldt and Will Smith),1.600,1.860
4,12:43,2,4,MIA 46,18,6,"Ronnie Brown right end for no gain (tackle by Fred Thomas). Penalty on Ronald McKinnon: Personal Foul, 15 yards",1.860,2.980
4,12:18,1,10,NOR 39,18,6,Gus Frerotte pass incomplete intended for Chris Chambers (defended by Mike McKenzie),2.980,2.440
4,12:12,2,10,NOR 39,18,6,Ronnie Brown left guard for no gain (tackle by Johnathan Sullivan),2.440,1.750
4,11:30,3,10,NOR 39,18,6,"Gus Frerotte pass complete to Ricky Williams for -6 yards (tackle by Darren Howard and Courtney Watson). Penalty on Will Smith: Roughing the Passer, 15 yards (no play)",1.750,3.970
4,11:02,1,10,NOR 24,18,6,Ronnie Brown left tackle for no gain (tackle by Ronald McKinnon),3.970,3.430
4,10:21,2,10,NOR 24,18,6,Ronnie Brown up the middle for -3 yards (tackle by Brian Young),3.430,2.350
4,9:40,3,13,NOR 27,18,6,Gus Frerotte pass incomplete intended for Marty Booker (defended by Fakhir Brown),2.350,1.670
4,9:33,4,13,NOR 27,21,6,Olindo Mare 46 yard field goal good,1.670,3.000
4,,,,MIA 30,21,6,"Olindo Mare kicks off 67 yards, returned by Aaron Stecker for 20 yards (tackle by Travis Minor). Penalty on Terrence Melton: Offensive Holding, 10 yards",0.000,-0.320
4,9:18,1,10,NOR 13,21,6,Aaron Brooks pass complete to Aaron Stecker for 7 yards (tackle by Channing Crowder),-0.320,0.220
4,8:50,2,3,NOR 20,21,6,Aaron Brooks up the middle for 5 yards,0.220,0.610
4,8:23,1,10,NOR 25,21,6,Aaron Brooks pass incomplete intended for Joe Horn,0.610,0.060
4,8:18,2,10,NOR 25,21,6,Aaron Brooks pass complete to Joe Horn for 17 yards (tackle by Travares Tillman),0.060,1.730
4,7:46,1,10,NOR 42,21,6,Aaron Brooks pass incomplete intended for Donte' Stallworth,1.730,1.190
4,7:41,2,10,NOR 42,21,6,Aaron Brooks pass incomplete intended for Donte' Stallworth,1.190,0.500
,,,,,,,"NOR challenged the ruling, and the original play was overturned.",,
4,7:38,3,10,NOR 42,21,6,Aaron Brooks up the middle for 2 yards (tackle by Vonnie Holliday),0.500,-0.460
4,6:57,4,8,NOR 44,21,6,Aaron Brooks pass incomplete intended for Joe Horn,-0.460,-2.650
4,6:51,1,10,NOR 44,21,6,Ronnie Brown right guard for 35 yards (tackle by Dwight Smith),2.650,5.140
4,6:18,1,9,NOR 9,21,6,Ronnie Brown right guard for no gain (tackle by Willie Whitehead),5.140,4.380
4,5:35,2,9,NOR 9,21,6,"Gus Frerotte for no gain. Gus Frerotte fumbles, recovered by Wes Welker at NOR-17",4.380,2.740
4,4:51,3,17,NOR 17,21,6,Gus Frerotte up the middle for -1 yards (tackle by Fred Thomas),2.740,2.250
4,4:31,4,18,NOR 18,21,6,Olindo Mare 36 yard field goal no good,2.250,-0.670
4,4:26,1,10,NOR 26,21,6,"Penalty on Donte' Stallworth: False Start, 5 yards (no play)",0.670,0.340
4,4:27,1,15,NOR 21,21,6,Aaron Brooks right end for 20 yards (tackle by David Bowens),0.340,1.660
4,3:49,1,10,NOR 41,21,6,Aaron Brooks pass incomplete intended for Joe Horn,1.660,1.120
4,3:47,2,10,NOR 41,21,6,Aaron Brooks pass complete to Donte' Stallworth for 29 yards (tackle by Reggie Howard and Lance Schulters),1.120,3.580
4,3:24,1,10,MIA 30,21,6,Aaron Brooks spiked the ball,3.580,3.030
4,3:24,2,10,MIA 30,21,6,Aaron Brooks sacked by Jeff Zgonina for -6 yards,3.030,1.550
4,2:56,3,16,MIA 36,21,6,Aaron Brooks pass complete to Joe Horn for 15 yards (tackle by Kiwaukee Thomas),1.550,2.210
4,2:42,,,,21,6,Timeout #1 by New Orleans Saints,0.000,2.210
4,2:42,4,1,MIA 21,21,6,Aaron Brooks pass incomplete intended for Devery Henderson,2.210,-0.340
4,2:35,1,10,MIA 21,21,6,Ronnie Brown right guard for 5 yards (tackle by Josh Bullocks),0.340,0.480
4,2:29,,,,21,6,Timeout #2 by New Orleans Saints,0.000,0.480
4,2:29,2,5,MIA 26,21,6,Ronnie Brown right guard for 4 yards (tackle by Ronald McKinnon and Will Smith),0.480,0.300
4,2:21,,,,21,6,Timeout #3 by New Orleans Saints,0.000,0.300
4,2:21,3,1,MIA 30,21,6,Ronnie Brown right guard for 2 yards (tackle by Darren Howard),0.300,1.070
4,2:00,1,10,MIA 32,21,6,Gus Frerotte kneels for -3 yards,1.070,0.120
4,1:16,2,13,MIA 29,21,6,Gus Frerotte kneels for -1 yards,0.120,-0.690
4,0:37,3,14,MIA 28,21,6,Gus Frerotte kneels for -1 yards,-0.690,-1.570
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
