Quarter,Time,Down,ToGo,Location,TAM,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Graham Gano kicks off 66 yards, returned by Micheal Spurlock for 20 yards (tackle by Perry Riley)",0.000,0.540
1,14:56,1,10,TAM 24,0,0,LeGarrette Blount left guard for 6 yards (tackle by London Fletcher and Rocky McIntosh),0.540,0.810
1,14:17,2,4,TAM 30,0,0,Josh Freeman middle for 3 yards (tackle by Kedric Golston and Lorenzo Alexander),0.810,0.500
1,13:32,3,1,TAM 33,0,0,Josh Freeman pass incomplete deep right intended for Kellen Winslow (defended by London Fletcher),0.500,-1.180
1,13:22,4,1,TAM 33,0,0,"Robert Malone punts 59 yards, returned by Brandon Banks for 8 yards (tackle by Adam Hayward)",-1.180,0.140
1,13:09,1,10,WAS 16,0,0,"Penalty on Will Montgomery: False Start, 5 yards (no play)",-0.140,-0.540
1,13:09,1,15,WAS 11,0,0,Ryan Torain left tackle for 54 yards (tackle by E.J. Biggers),-0.540,3.250
1,12:44,1,10,TAM 35,0,0,Ryan Torain middle for 1 yard (tackle by Gerald McCoy and Sean Jones),3.250,2.840
1,12:09,2,9,TAM 34,0,0,Donovan McNabb pass complete short middle to Ryan Torain for 7 yards (tackle by Roy Miller and Barrett Ruud),2.840,3.070
1,11:34,3,2,TAM 27,0,0,Donovan McNabb pass complete short left to Anthony Armstrong for 7 yards (tackle by Ronde Barber),3.070,4.240
1,10:58,1,10,TAM 20,0,0,Donovan McNabb pass complete short right to Mike Sellers for 3 yards (tackle by Barrett Ruud and Quincy Black),4.240,4.120
1,10:22,2,7,TAM 17,0,0,Ryan Torain left tackle for 1 yard (tackle by Sean Jones),4.120,3.520
1,9:46,3,6,TAM 16,0,0,Donovan McNabb pass incomplete short left intended for Chris Cooley,3.520,2.400
1,9:41,4,6,TAM 16,0,0,Graham Gano 34 yard field goal no good,2.400,-0.540
1,9:38,1,10,TAM 24,0,0,Josh Freeman pass complete short right to John Gilmore for 12 yards (tackle by DeAngelo Hall),0.540,1.330
1,9:07,1,10,TAM 36,0,0,LeGarrette Blount left tackle for 18 yards (tackle by Kareem Moore and London Fletcher),1.330,2.520
1,8:30,1,10,WAS 46,0,0,LeGarrette Blount left guard for 4 yards (tackle by Kedric Golston),2.520,2.520
1,7:48,2,6,WAS 42,0,0,Josh Freeman pass complete short left to Earnest Graham for 5 yards (tackle by Kareem Moore and Rocky McIntosh),2.520,2.480
1,7:03,3,1,WAS 37,0,0,Josh Freeman pass incomplete short left intended for Mike Williams (defended by Phillip Buchanon),2.480,0.790
1,6:59,4,1,WAS 37,0,0,Robert Malone punts 26 yards,0.790,0.370
1,6:48,1,10,WAS 11,0,0,Ryan Torain right guard for 12 yards (tackle by Corey Lynch),-0.370,0.480
1,6:11,1,10,WAS 23,0,0,Ryan Torain left end for 23 yards (tackle by Stylez G. White),0.480,1.990
