Unnamed: 0,TAM,WAS
First Downs,15,22
Rush-Yds-TDs,26-103-0,28-188-0
Cmp-Att-Yd-TD-INT,15-25-266-1-0,22-35-228-2-0
Sacked-Yards,1-4,2-17
Net Pass Yards,262,211
Total Yards,365,399
Fumbles-Lost,2-2,1-1
Turnovers,2,1
Penalties-Yards,2-14,4-25
Third Down Conv.,5-12,6-16
Fourth Down Conv.,0-0,2-2
Time of Possession,28:52,31:08
