Unnamed: 0,STL,ARI
First Downs,13,25
Rush-Yds-TDs,24-75-0,32-122-1
Cmp-Att-Yd-TD-INT,14-30-180-1-3,23-39-300-3-2
Sacked-Yards,3-21,0-0
Net Pass Yards,159,300
Total Yards,234,422
Fumbles-Lost,1-0,1-0
Turnovers,3,2
Penalties-Yards,7-50,8-63
Third Down Conv.,2-12,6-13
Fourth Down Conv.,1-3,3-3
Time of Possession,24:07,35:53
