Quarter,Time,Tm,Detail,STL,ARI
1.0,10:26,Rams,Jeff Wilkins 37 yard field goal,3,0
,4:27,Cardinals,Neil Rackers 23 yard field goal,3,3
2.0,7:45,Cardinals,Edgerrin James 2 yard rush (Neil Rackers kick),3,10
,6:40,Cardinals,Antrel Rolle 47 yard interception return (Neil Rackers kick),3,17
,1:06,Cardinals,Larry Fitzgerald 21 yard pass from Kurt Warner (Neil Rackers kick),3,24
,0:09,Rams,Jeff Wilkins 42 yard field goal,6,24
3.0,12:42,Rams,Joe Klopfenstein 36 yard pass from Marc Bulger (Jeff Wilkins kick),13,24
,5:45,Cardinals,Larry Fitzgerald 6 yard pass from Kurt Warner (Neil Rackers kick),13,31
,1:48,Rams,O.J. Atogwe 52 yard interception return (pass failed),19,31
4.0,13:37,Cardinals,Anquan Boldin 20 yard pass from Kurt Warner (Neil Rackers kick),19,38
,3:57,Cardinals,Neil Rackers 33 yard field goal,19,41
,3:09,Cardinals,Gerald Hayes 30 yard interception return (Neil Rackers kick),19,48
