Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 73 yards, returned by Derek Stanley for 31 yards (tackle by Michael Adams)",0.000,0.810
1,14:54,1,10,STL 28,0,0,Steven Jackson middle for 9 yards (tackle by Gabe Watson),0.810,1.480
1,14:21,2,1,STL 37,0,0,Steven Jackson middle for 4 yards (tackle by Gerald Hayes),1.480,1.660
1,13:46,1,10,STL 41,0,0,Steven Jackson right tackle for 1 yard (tackle by Aaron Francisco),1.660,1.260
1,13:05,2,9,STL 42,0,0,Marc Bulger pass complete deep right to Torry Holt for 31 yards (tackle by Terrence Holt),1.260,3.780
1,12:30,1,10,ARI 27,0,0,Derek Stanley left end for 5 yards (tackle by Antrel Rolle),3.780,3.910
1,11:53,2,5,ARI 22,0,0,Steven Jackson middle for 4 yards (tackle by Karlos Dansby and Darnell Dockett),3.910,3.840
1,11:13,3,1,ARI 18,0,0,Steven Jackson left tackle for -1 yards (tackle by Aaron Francisco),3.840,2.310
1,10:31,4,2,ARI 19,3,0,Jeff Wilkins 37 yard field goal good,2.310,3.000
1,10:31,,,STL 30,3,0,"Jeff Wilkins kicks off 59 yards, returned by Steve Breaston for 9 yards (tackle by Hanik Milligan)",0.000,0.280
1,10:21,1,10,ARI 20,3,0,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald,0.280,-0.270
1,10:14,2,10,ARI 20,3,0,Kurt Warner pass complete short right to Larry Fitzgerald for 5 yards (tackle by Ronald Bartell),-0.270,-0.300
1,9:36,3,5,ARI 25,3,0,"Kurt Warner pass complete short middle to Anquan Boldin for 15 yards (tackle by Quinton Culberson). Anquan Boldin fumbles (forced by Quinton Culberson), ball out of bounds at ARI-40",-0.300,1.600
1,9:26,1,10,ARI 40,3,0,Edgerrin James middle for 2 yards (tackle by James Hall and La'Roi Glover),1.600,1.320
1,8:45,2,8,ARI 42,3,0,Kurt Warner pass incomplete deep left intended for Larry Fitzgerald,1.320,0.630
1,8:40,3,8,ARI 42,3,0,Kurt Warner pass complete short left to Anquan Boldin for 16 yards (tackle by Ronald Bartell),0.630,2.790
1,8:09,1,10,STL 42,3,0,Edgerrin James middle for 8 yards (tackle by Corey Chavous),2.790,3.320
1,7:33,2,2,STL 34,3,0,Edgerrin James middle for 1 yard (tackle by Quinton Culberson),3.320,2.740
1,6:53,3,1,STL 33,3,0,J.J. Arrington left tackle for -4 yards (tackle by Chris Draft),2.740,0.790
1,6:10,4,5,STL 37,3,0,Kurt Warner pass complete short left to Larry Fitzgerald for 20 yards (tackle by O.J. Atogwe),0.790,4.440
1,5:42,1,10,STL 17,3,0,Edgerrin James left tackle for 10 yards (tackle by Quinton Culberson),4.440,5.600
1,5:01,1,7,STL 7,3,0,Kurt Warner pass incomplete short left intended for Larry Fitzgerald,5.600,4.760
1,4:55,2,7,STL 7,3,0,"Penalty on Troy Bienemann: False Start, 5 yards (no play)",4.760,3.860
1,4:55,2,12,STL 12,3,0,Kurt Warner pass incomplete short left intended for Bryant Johnson,3.860,3.100
1,4:49,3,12,STL 12,3,0,Kurt Warner left tackle for 7 yards (tackle by Fakhir Brown and Corey Chavous). Penalty on Mike Gandy: Offensive Holding (Declined),3.100,3.010
1,4:31,4,5,STL 5,3,3,Neil Rackers 23 yard field goal good,3.010,3.000
1,4:31,,,ARI 30,3,3,"Neil Rackers kicks off 68 yards, returned by Derek Stanley for 16 yards (tackle by Darryl Blackstock)",0.000,0.040
1,4:18,1,10,STL 18,3,3,Steven Jackson middle for -1 yards (tackle by Calvin Pace),0.040,-0.650
1,3:44,2,11,STL 17,3,3,Marc Bulger pass complete short right to Torry Holt for 5 yards (tackle by Roderick Hood),-0.650,-0.660
1,3:04,3,6,STL 22,3,3,Marc Bulger pass incomplete short left intended for Dane Looker. Penalty on Alex Barron: Offensive Holding (Declined),-0.660,-1.900
1,2:57,4,6,STL 22,3,3,"Donnie Jones punts 51 yards, out of bounds",-1.900,-0.740
1,2:47,1,10,ARI 27,3,3,Edgerrin James left tackle for 6 yards (tackle by Quinton Culberson),0.740,1.010
1,2:12,2,4,ARI 33,3,3,Kurt Warner pass incomplete short middle intended for Bryant Johnson (defended by Chris Draft),1.010,0.300
1,2:05,3,4,ARI 33,3,3,Kurt Warner pass complete short middle to Larry Fitzgerald for 13 yards (tackle by Fakhir Brown),0.300,1.990
1,1:22,1,10,ARI 46,3,3,Edgerrin James middle for 1 yard (tackle by O.J. Atogwe),1.990,1.590
1,0:40,2,9,ARI 47,3,3,Kurt Warner pass complete short left to Edgerrin James for -2 yards (tackle by Chris Draft and Clifton Ryan),1.590,0.630
Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,ARI 45,3,3,Kurt Warner pass incomplete short left intended for Larry Fitzgerald,0.630,-0.390
2,14:55,4,11,ARI 45,3,3,"Mitch Berger punts 40 yards, returned by Brandon Williams for 10 yards (tackle by Aaron Francisco)",-0.390,-0.610
2,14:45,1,10,STL 25,3,3,Marc Bulger pass complete short left to Torry Holt for 14 yards (tackle by Antrel Rolle),0.610,1.530
2,14:20,1,10,STL 39,3,3,Steven Jackson right tackle for 3 yards (tackle by Karlos Dansby),1.530,1.390
2,13:38,2,7,STL 42,3,3,"Penalty on Antonio Smith: Encroachment, 5 yards (no play)",1.390,2.070
2,13:17,2,2,STL 47,3,3,Steven Jackson right tackle for 4 yards (tackle by Gerald Hayes),2.070,2.320
2,12:39,1,10,ARI 49,3,3,Marc Bulger pass complete short right to Torry Holt for 7 yards (tackle by Roderick Hood),2.320,2.730
2,12:02,2,3,ARI 42,3,3,Steven Jackson left end for -1 yards (tackle by Joe Tafoya),2.730,1.880
2,11:17,3,4,ARI 43,3,3,Marc Bulger pass incomplete short right intended for Dane Looker (defended by Antrel Rolle),1.880,0.400
2,11:12,4,4,ARI 43,3,3,Marc Bulger pass incomplete short right intended for Drew Bennett (defended by Roderick Hood),0.400,-1.800
2,11:09,1,10,ARI 43,3,3,Kurt Warner pass complete deep middle to Larry Fitzgerald for 25 yards (tackle by Jonathan Wade and Corey Chavous),1.800,3.450
2,10:35,1,10,STL 32,3,3,Edgerrin James left tackle for 2 yards (tackle by Clifton Ryan and Eric Moore),3.450,3.170
2,9:56,2,8,STL 30,3,3,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards,3.170,4.240
2,9:28,2,8,STL 30,3,3,Timeout #1 by St. Louis Rams,3.170,4.240
2,9:28,1,10,STL 20,3,3,Kurt Warner pass incomplete short left intended for Ben Patrick,4.240,3.690
2,9:20,2,10,STL 20,3,3,Edgerrin James middle for 15 yards (tackle by Fakhir Brown),3.690,6.060
2,8:36,1,5,STL 5,3,3,Edgerrin James middle for 3 yards (tackle by Corey Chavous and Will Witherspoon),6.060,5.720
2,7:53,2,2,STL 2,3,3,Kurt Warner pass incomplete short left intended for Bryant Johnson (defended by O.J. Atogwe),5.720,4.950
2,7:48,3,2,STL 2,3,9,"Edgerrin James left tackle for 2 yards, touchdown",4.950,7.000
2,7:48,,,STL 2,3,10,Neil Rackers kicks extra point good,0.000,0.000
2,7:48,,,ARI 30,3,10,"Neil Rackers kicks off 58 yards, returned by Dane Looker for 19 yards (tackle by Michael Adams)",0.000,1.000
2,7:38,1,10,STL 31,3,10,Steven Jackson left tackle for no gain (tackle by Rodney Bailey and Calvin Pace),1.000,0.460
