Unnamed: 0,CAR,TAM
First Downs,16,18
Rush-Yds-TDs,13-10-0,36-130-0
Cmp-Att-Yd-TD-INT,23-33-303-1-2,16-24-138-1-0
Sacked-Yards,3-12,2-10
Net Pass Yards,291,128
Total Yards,301,258
Fumbles-Lost,2-0,0-0
Turnovers,2,0
Penalties-Yards,6-65,4-35
Third Down Conv.,2-10,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,22:33,37:27
