Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,CAR 20,0,0,DeAngelo Williams right end for -4 yards (tackle by Mason Foster),0.280,-0.940
1,14:27,2,14,CAR 16,0,0,Cam Newton pass complete short middle to Greg Olsen for 20 yards (tackle by Ronde Barber),-0.940,1.330
1,13:49,1,10,CAR 36,0,0,DeAngelo Williams left guard for -3 yards (tackle by Gerald McCoy),1.330,0.390
1,13:05,2,13,CAR 33,0,0,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Mark Barron),0.390,-0.300
1,12:57,3,13,CAR 33,0,0,Cam Newton pass incomplete deep left intended for Steve Smith,-0.300,-1.180
1,12:51,4,13,CAR 33,0,0,"Brad Nortman punts 47 yards, returned by Preston Parker for no gain",-1.180,-0.280
1,12:40,1,10,TAM 20,0,0,Josh Freeman pass complete short left to Mike Williams for 6 yards (tackle by Josh Norman),0.280,0.540
1,12:25,2,4,TAM 26,0,0,Doug Martin right tackle for 4 yards (tackle by Charles Godfrey),0.540,0.940
1,11:39,1,10,TAM 30,0,0,Doug Martin right tackle for 4 yards (tackle by Charles Godfrey),0.940,0.930
1,10:57,2,6,TAM 34,0,0,Josh Freeman pass complete short right to Erik Lorig for 5 yards (tackle by Luke Kuechly),0.930,0.890
1,10:27,3,1,TAM 39,0,0,Josh Freeman up the middle for 2 yards (tackle by Greg Hardy),0.890,1.660
1,9:45,1,10,TAM 41,0,0,Josh Freeman pass complete short right to Erik Lorig for 15 yards (tackle by Haruki Nakamura),1.660,2.650
1,9:13,1,10,CAR 44,0,0,Doug Martin left tackle for 1 yard (tackle by Jon Beason),2.650,2.250
1,8:36,2,9,CAR 43,0,0,Josh Freeman pass complete short left to Doug Martin for 11 yards (tackle by Luke Kuechly),2.250,3.450
1,7:42,1,10,CAR 32,0,0,Doug Martin up the middle for 6 yards (tackle by Charles Godfrey),3.450,3.710
1,6:58,2,4,CAR 26,0,0,Josh Freeman pass complete short left to Doug Martin for 2 yards (tackle by James Anderson),3.710,3.270
1,6:27,3,2,CAR 24,0,0,Josh Freeman pass complete short left to Vincent Jackson for 7 yards (tackle by Josh Norman),3.270,4.440
1,6:00,1,10,CAR 17,0,0,Doug Martin left end for 11 yards (tackle by Jon Beason and Haruki Nakamura),4.440,5.830
1,5:28,1,6,CAR 6,0,6,"Josh Freeman pass complete short middle to Mike Williams for 6 yards, touchdown",5.830,7.000
1,5:28,,,CAR 2,0,7,Connor Barth kicks extra point good,0.000,0.000
1,5:20,,,TAM 35,0,7,"Michael Koenen kicks off 65 yards, touchback",0.000,0.280
1,5:20,1,10,CAR 20,0,7,Mike Tolbert right guard for 2 yards (tackle by Lavonte David and Quincy Black),0.280,0.000
1,4:46,2,8,CAR 22,0,7,Cam Newton pass complete short left to Greg Olsen for 4 yards (tackle by Lavonte David),0.000,-0.160
1,4:02,3,4,CAR 26,0,7,Cam Newton pass incomplete short left intended for Kealoha Pilares (defended by Ronde Barber),-0.160,-1.630
1,3:56,4,4,CAR 26,0,7,"Brad Nortman punts 39 yards, fair catch by Sammie Stroughter. Penalty on Captain Munnerlyn: Fair Catch Interference, 15 yards",-1.630,-2.260
1,3:47,1,10,,0,7,Josh Freeman pass complete deep right to Dallas Clark for 33 yards (tackle by Jon Beason),2.260,4.440
1,3:00,1,10,CAR 17,0,7,Doug Martin left end for -1 yards (tackle by Jon Beason and Captain Munnerlyn),4.440,3.720
1,2:14,2,11,CAR 18,0,7,Doug Martin left guard for no gain (tackle by James Anderson),3.720,3.000
1,1:30,3,11,CAR 18,0,7,Josh Freeman pass incomplete short middle intended for Vincent Jackson (defended by Frank Alexander),3.000,2.250
1,1:25,4,11,CAR 18,0,10,Connor Barth 36 yard field goal good,2.250,3.000
1,1:20,,,TAM 35,0,10,"Michael Koenen kicks off 74 yards, touchback",0.000,0.280
1,1:20,1,10,CAR 20,0,10,Cam Newton pass complete short right to Louis Murphy for 10 yards (tackle by Aqib Talib),0.280,0.940
1,0:41,1,10,CAR 30,0,10,Cam Newton pass complete short middle to DeAngelo Williams for 5 yards (tackle by Quincy Black),0.940,1.070
Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,CAR 35,0,10,Kealoha Pilares left end for 5 yards (tackle by Mark Barron),1.070,1.600
2,14:19,1,10,CAR 40,0,10,Cam Newton pass complete short right to Mike Tolbert for -6 yards (tackle by Ronde Barber),1.600,0.240
2,13:34,2,16,CAR 34,0,10,Cam Newton pass complete short right to Steve Smith for 31 yards (tackle by Eric Wright),0.240,3.250
2,13:16,1,10,TAM 35,0,10,Cam Newton pass complete short left to Louis Murphy for 2 yards (tackle by Brandon McDonald and Aqib Talib),3.250,2.970
2,12:37,2,8,TAM 33,0,10,Cam Newton left tackle for -5 yards (tackle by Quincy Black),2.970,1.620
2,11:52,3,13,TAM 38,0,10,Cam Newton pass incomplete deep right intended for Steve Smith (defended by Eric Wright),1.620,0.720
2,11:44,4,13,TAM 38,0,10,"Brad Nortman punts 30 yards, fair catch by Sammie Stroughter",0.720,0.380
2,11:38,1,10,TAM 8,0,10,Josh Freeman pass incomplete short left intended for Vincent Jackson (defended by Frank Alexander),-0.380,-0.780
