Unnamed: 0,CLE,BAL
First Downs,20,23
Rush-Yds-TDs,17-43-1,27-101-1
Cmp-Att-Yd-TD-INT,25-52-320-0-1,28-46-356-1-1
Sacked-Yards,1-6,4-19
Net Pass Yards,314,337
Total Yards,357,438
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,7-66,11-100
Third Down Conv.,3-15,5-15
Fourth Down Conv.,0-1,0-1
Time of Possession,26:57,33:03
