Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Wade Richey kicks off 74 yards, returned by Terrence Wilkins for 19 yards (tackle by Rogers Beckett)",0.000,-0.220
1,14:54,1,10,STL 15,0,0,Marshall Faulk right guard for 3 yards (tackle by Marcellus Wiley),-0.220,-0.280
1,14:15,2,7,STL 18,0,0,Marc Bulger pass complete to Torry Holt for 19 yards (tackle by Rogers Beckett),-0.280,1.400
1,13:27,1,10,STL 37,0,0,Marc Bulger pass complete to Isaac Bruce for 19 yards (tackle by Alex Molden),1.400,2.650
1,12:43,1,10,SDG 44,0,0,Troy Edwards right end for 27 yards (tackle by Quentin Jammer),2.650,4.440
1,11:49,1,10,SDG 17,0,6,"Marc Bulger pass complete to Ernie Conwell for 17 yards, touchdown",4.440,7.000
1,11:49,,,SDG 17,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,11:49,,,STL 30,0,7,"Jeff Wilkins kicks off 77 yards, touchback",0.000,0.280
1,11:43,1,10,SDG 20,0,7,LaDainian Tomlinson right tackle for 2 yards (tackle by Leonard Little and Kim Herring),0.280,0.000
1,11:06,2,8,SDG 22,0,7,LaDainian Tomlinson left guard for 7 yards (tackle by Tommy Polley),0.000,0.230
1,10:26,3,1,SDG 29,0,7,"Penalty on Jason Ball: False Start, 5 yards (no play)",0.230,-0.430
1,10:01,3,6,SDG 24,0,7,"Penalty on Ed Ellis: False Start, 5 yards (no play)",-0.430,-1.140
1,9:42,3,11,SDG 19,0,7,"Penalty on Ed Ellis: False Start, 5 yards (no play)",-1.140,-2.030
1,9:19,3,16,SDG 14,0,7,Drew Brees pass complete to LaDainian Tomlinson for 7 yards (tackle by Adam Archuleta),-2.030,-1.960
1,8:37,4,9,SDG 21,0,7,"Darren Bennett punts 52 yards, returned by Terrence Wilkins for -6 yards (tackle by Carlos Polk)",-1.960,-0.340
1,8:24,1,10,STL 21,0,7,Marc Bulger pass complete to Marshall Faulk for 1 yard (tackle by Donnie Edwards),0.340,-0.070
1,7:47,2,9,STL 22,6,7,"Marc Bulger pass complete to Troy Edwards for 3 yards (tackle by Alex Molden). Troy Edwards fumbles (forced by Alex Molden), recovered by Ryan McNeil at STL-5 and returned for 5 yards, touchdown",-0.070,-7.000
1,7:36,,,STL 22,7,7,Steve Christie kicks extra point good,0.000,0.000
1,7:36,,,SDG 30,7,7,"Wade Richey kicks off 70 yards, touchback",0.000,0.280
1,7:36,2,9,STL 22,,,Timeout #1 by Los Angeles Chargers,3.630,-0.280
1,7:36,1,10,STL 20,7,7,Marshall Faulk left tackle for -1 yards (tackle by Raylee Johnson),0.280,-0.460
1,6:52,2,11,STL 19,7,7,Marshall Faulk right guard for 3 yards (tackle by Donnie Edwards),-0.460,-0.690
1,6:10,3,8,STL 22,7,7,Marc Bulger pass incomplete intended for Ricky Proehl,-0.690,-1.900
1,6:04,4,8,STL 22,7,7,"Mitch Berger punts 61 yards, returned by Tim Dwight for 9 yards (tackle by Leonard Little)",-1.900,-0.670
1,5:51,1,10,SDG 26,7,7,Drew Brees pass complete to Curtis Conway for 12 yards (tackle by Travis Fisher),0.670,1.470
1,5:15,1,10,SDG 38,7,7,LaDainian Tomlinson left end for 10 yards (tackle by Tommy Polley),1.470,2.130
1,4:35,1,10,SDG 48,7,7,LaDainian Tomlinson left end for 1 yard (tackle by Grant Wistrom),2.130,1.720
1,3:54,2,9,SDG 49,7,7,Drew Brees pass complete to LaDainian Tomlinson for 6 yards (tackle by Tommy Polley and Don Davis),1.720,1.820
1,3:10,3,3,STL 45,7,7,Drew Brees pass complete to Tim Dwight for 8 yards (tackle by Travis Fisher),1.820,3.120
1,2:46,1,10,STL 37,7,7,LaDainian Tomlinson middle for 1 yard (tackle by Tommy Polley),3.120,2.710
1,2:04,2,9,STL 36,7,7,LaDainian Tomlinson middle for no gain (tackle by Adam Archuleta and Damione Lewis),2.710,2.010
1,1:25,3,9,STL 36,7,7,Drew Brees pass complete to LaDainian Tomlinson for 11 yards (tackle by Dre' Bly),2.010,3.910
1,0:40,1,10,STL 25,7,7,LaDainian Tomlinson left tackle for no gain (tackle by Adam Archuleta and Ryan Pickett),3.910,3.360
Quarter,Time,Down,ToGo,Location,SDG,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,STL 25,7,7,LaDainian Tomlinson right end for 8 yards (tackle by Don Davis),3.360,3.850
2,14:27,3,2,STL 17,7,7,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",3.850,3.070
2,14:12,3,7,STL 22,7,7,Drew Brees pass incomplete intended for Curtis Conway (defended by Dre' Bly),3.070,1.990
2,14:05,4,7,STL 22,10,7,Steve Christie 41 yard field goal good,1.990,3.000
2,14:05,,,SDG 30,10,7,"Wade Richey kicks off 69 yards, returned by Terrence Wilkins for 19 yards (tackle by Zeke Moreno)",0.000,0.280
2,13:56,1,10,STL 20,10,7,"Marshall Faulk right end for 6 yards (tackle by Rodney Harrison). Penalty on Isaac Bruce: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,13:31,1,20,STL 10,10,7,Marc Bulger pass complete to Marshall Faulk for 12 yards (tackle by Junior Seau),-0.760,0.000
2,12:43,2,8,STL 22,10,7,Marc Bulger pass incomplete intended for Torry Holt,0.000,-0.690
2,12:38,3,8,STL 22,10,7,Marc Bulger pass incomplete intended for Torry Holt (defended by Quentin Jammer),-0.690,-1.900
2,12:32,4,8,STL 22,10,7,"Mitch Berger punts 49 yards, returned by Tim Dwight for 15 yards (tackle by Chris Massey)",-1.900,-1.860
2,12:20,1,10,SDG 44,10,7,"Drew Brees pass incomplete intended for Curtis Conway. Penalty on Grant Wistrom: Roughing the Passer, 15 yards (no play)",1.860,2.850
2,12:16,1,10,STL 41,10,7,Drew Brees pass complete to Tim Dwight for 26 yards (tackle by Kim Herring),2.850,4.580
2,11:40,1,10,STL 15,10,7,LaDainian Tomlinson left tackle for 6 yards (tackle by Dexter McCleon),4.580,5.030
2,11:03,2,4,STL 9,10,7,Terrell Fletcher left tackle for no gain (tackle by Ryan Pickett),5.030,4.220
2,10:17,3,4,STL 9,10,7,Drew Brees pass complete to Curtis Conway for 7 yards (tackle by Don Davis),4.220,6.740
2,9:38,1,2,STL 2,10,7,LaDainian Tomlinson right tackle for 1 yard (tackle by Adam Archuleta),6.740,5.910
2,8:59,2,1,STL 1,16,7,"LaDainian Tomlinson left end for 1 yard, touchdown",5.910,7.000
2,8:59,,,STL 1,17,7,Steve Christie kicks extra point good,0.000,0.000
2,8:59,,,SDG 30,17,7,"Wade Richey kicks off 70 yards, returned by Terrence Wilkins for 35 yards (tackle by Orlando Ruff). Penalty on Nick Sorensen: Illegal Block Above the Waist, 10 yards, Penalty on Robert Thomas: Offensive Holding (Declined)",0.000,-0.280
2,8:45,1,10,STL 14,17,7,Marc Bulger pass complete to Isaac Bruce for 18 yards (tackle by Quentin Jammer),-0.280,1.070
2,8:06,1,10,STL 32,17,7,Marc Bulger pass complete to Lamar Gordon for 7 yards (tackle by Donnie Edwards),1.070,1.470
2,7:27,2,3,STL 39,17,7,"Lamar Gordon left guard for 16 yards (tackle by Rodney Harrison). Penalty on Andy McCollum: Offensive Holding, 10 yards (no play)",1.470,0.120
2,7:05,2,13,STL 29,17,7,Marc Bulger pass complete to Brandon Manumaleuna for 11 yards (tackle by Rodney Harrison),0.120,0.890
2,6:17,3,2,STL 40,17,7,Marc Bulger pass complete to Torry Holt for 6 yards (tackle by Quentin Jammer),0.890,1.990
