Unnamed: 0,SDG,STL
First Downs,15,25
Rush-Yds-TDs,29-126-1,16-71-0
Cmp-Att-Yd-TD-INT,12-20-139-0-2,36-48-453-4-0
Sacked-Yards,1-9,0-0
Net Pass Yards,130,453
Total Yards,256,524
Fumbles-Lost,0-0,4-4
Turnovers,2,4
Penalties-Yards,12-82,10-85
Third Down Conv.,3-10,4-9
Fourth Down Conv.,1-1,0-0
Time of Possession,29:47,30:13
