Unnamed: 0,LAR,ATL
First Downs,23,14
Rush-Yds-TDs,36-90-1,15-38-0
Cmp-Att-Yd-TD-INT,23-38-291-2-0,22-33-224-1-1
Sacked-Yards,0-0,5-38
Net Pass Yards,291,186
Total Yards,381,224
Fumbles-Lost,0-0,4-2
Turnovers,0,3
Penalties-Yards,5-24,5-48
Third Down Conv.,8-16,3-12
Fourth Down Conv.,1-1,0-0
Time of Possession,37:09,22:51
