Quarter,Time,Tm,Detail,LAR,ATL
1.0,11:23,Falcons,Matt Bryant 52 yard field goal,0,3
,1:42,Rams,Greg Zuerlein 55 yard field goal,3,3
2.0,11:16,Rams,Todd Gurley 13 yard pass from Jared Goff (Greg Zuerlein kick),10,3
,1:56,Rams,Greg Zuerlein 25 yard field goal,13,3
3.0,10:35,Rams,Gerald Everett 8 yard pass from Jared Goff (Greg Zuerlein kick),20,3
,6:34,Rams,Jared Goff 1 yard rush (Greg Zuerlein kick),27,3
4.0,5:42,Rams,Greg Zuerlein 20 yard field goal,30,3
,2:36,Falcons,Austin Hooper 10 yard pass from Matt Schaub (Matt Bryant kick),30,10
,0:11,Rams,Darious Williams fumble recovery in end zone (Greg Zuerlein kick),37,10
