Quarter,Time,Tm,Detail,WAS,PHI
1.0,7:31,Eagles,Golden Tate 6 yard pass from Carson Wentz (Jake Elliott kick),0,7
2.0,13:46,Redskins,Dustin Hopkins 44 yard field goal,3,7
,9:23,Redskins,Adrian Peterson 90 yard rush (Dustin Hopkins kick),10,7
,1:46,Eagles,Darren Sproles 14 yard rush (Jake Elliott kick),10,14
,0:15,Redskins,Dustin Hopkins 47 yard field goal,13,14
4.0,14:10,Eagles,Jordan Matthews 4 yard pass from Carson Wentz (Golden Tate pass from Carson Wentz),13,22
,11:41,Eagles,Jake Elliott 46 yard field goal,13,25
,4:48,Eagles,Jake Elliott 44 yard field goal,13,28
