Unnamed: 0,WAS,PHI
First Downs,10,28
Rush-Yds-TDs,14-104-1,33-130-1
Cmp-Att-Yd-TD-INT,17-25-150-0-1,27-39-306-2-1
Sacked-Yards,3-19,0-0
Net Pass Yards,131,306
Total Yards,235,436
Fumbles-Lost,2-0,3-0
Turnovers,1,1
Penalties-Yards,10-69,5-38
Third Down Conv.,2-10,7-13
Fourth Down Conv.,0-0,0-1
Time of Possession,20:41,39:19
