Unnamed: 0,HOU,ATL
First Downs,17,26
Rush-Yds-TDs,23-64-0,36-96-1
Cmp-Att-Yd-TD-INT,20-35-249-1-0,29-38-351-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,249,351
Total Yards,313,447
Fumbles-Lost,0-0,3-2
Turnovers,0,2
Penalties-Yards,5-25,7-55
Third Down Conv.,4-13,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,24:28,35:32
