Quarter,Time,Tm,Detail,PIT,SEA
1.0,5:32,Steelers,Chris Boswell 44 yard field goal,3,0
2.0,12:18,Seahawks,Doug Baldwin 16 yard pass from Russell Wilson (Stephen Hauschka kick),3,7
,8:39,Steelers,Martavis Bryant 11 yard rush (Chris Boswell kick),10,7
,2:10,Seahawks,Jermaine Kearse 12 yard pass from Russell Wilson (Stephen Hauschka kick),10,14
,0:56,Steelers,DeAngelo Williams 6 yard rush (Jesse James pass from Ben Roethlisberger),18,14
3.0,5:51,Steelers,Chris Boswell 25 yard field goal,21,14
,3:00,Seahawks,Thomas Rawls 1 yard rush (Stephen Hauschka kick failed),21,20
4.0,12:17,Seahawks,Jermaine Kearse 9 yard pass from Russell Wilson (pass failed),21,26
,11:40,Steelers,Markus Wheaton 69 yard pass from Ben Roethlisberger (pass failed),27,26
,8:12,Seahawks,Doug Baldwin 30 yard pass from Russell Wilson (run failed),27,32
,3:00,Steelers,Chris Boswell 22 yard field goal,30,32
,2:01,Seahawks,Doug Baldwin 80 yard pass from Russell Wilson (Stephen Hauschka kick),30,39
