Unnamed: 0,PIT,SEA
First Downs,26,21
Rush-Yds-TDs,14-58-2,27-100-1
Cmp-Att-Yd-TD-INT,37-59-490-1-4,21-30-345-5-0
Sacked-Yards,2-10,2-9
Net Pass Yards,480,336
Total Yards,538,436
Fumbles-Lost,1-0,2-0
Turnovers,4,0
Penalties-Yards,6-65,8-76
Third Down Conv.,5-11,7-13
Fourth Down Conv.,0-1,0-0
Time of Possession,32:00,28:00
