Unnamed: 0,STL,CLE
First Downs,17,16
Rush-Yds-TDs,32-133-0,30-126-0
Cmp-Att-Yd-TD-INT,15-25-155-1-1,20-27-218-0-0
Sacked-Yards,1-7,2-9
Net Pass Yards,148,209
Total Yards,281,335
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,7-55,6-60
Third Down Conv.,4-12,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:33,32:27
