Quarter,Time,Tm,Detail,STL,CLE
1.0,4:51,Browns,Phil Dawson 44 yard field goal,0,3
2.0,14:53,Rams,Brandon Lloyd 7 yard pass from Sam Bradford (Josh Brown kick),7,3
,7:41,Browns,Phil Dawson 32 yard field goal,7,6
,1:07,Rams,Josh Brown 29 yard field goal,10,6
,0:00,Browns,Phil Dawson 43 yard field goal,10,9
3.0,0:33,Browns,Phil Dawson 27 yard field goal,10,12
4.0,7:42,Rams,Josh Brown 34 yard field goal,13,12
