Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
1,1:39,2,5,CLE 21,0,3,Sam Bradford pass complete short left to Brandon Lloyd for 7 yards (tackle by Joe Haden),3.970,4.650
1,1:07,1,10,CLE 14,0,3,Brit Miller left guard for 2 yards (tackle by D'Qwell Jackson),4.650,4.330
1,0:32,2,8,CLE 12,0,3,Sam Bradford pass complete to Billy Bajema for 5 yards (tackle by Chris Gocong),4.330,4.500
Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,CLE 7,6,3,"Sam Bradford pass complete short right to Brandon Lloyd for 7 yards, touchdown",4.500,7.000
2,,,,CLE 2,7,3,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 35,7,3,"Josh Brown kicks off 65 yards, touchback",0.000,0.280
2,14:53,1,10,CLE 20,7,3,Colt McCoy pass complete short right to Greg Little for 9 yards (tackle by Darian Stewart),0.280,0.950
2,14:31,2,1,CLE 29,7,3,Chris Ogbonnaya right guard for 2 yards (tackle by Quintin Mikell),0.950,1.000
2,14:03,1,10,CLE 31,7,3,Colt McCoy pass incomplete intended for Ben Watson,1.000,0.460
2,13:57,2,10,CLE 31,7,3,Josh Cribbs right end for 2 yards (tackle by Fred Robbins),0.460,0.040
2,13:15,3,8,CLE 33,7,3,Colt McCoy pass incomplete short right intended for Jordan Norwood,0.040,-1.180
2,13:11,4,8,CLE 33,7,3,"Brad Maynard punts 44 yards, returned by Austin Pettis for 6 yards (tackle by Quinton Spears)",-1.180,-0.870
2,12:59,1,10,STL 29,7,3,Sam Bradford pass incomplete intended for Brandon Gibson,0.870,0.330
2,12:55,2,10,STL 29,7,3,Steven Jackson left guard for 3 yards (tackle by Ahtyba Rubin),0.330,0.040
2,12:16,3,7,STL 32,7,3,Sam Bradford pass complete to Austin Pettis for 16 yards (tackle by Buster Skrine),0.040,2.130
2,11:40,1,10,STL 48,7,3,Sam Bradford pass incomplete intended for Michael Hoomanawanui is intercepted by Scott Fujita at CLE-46 and returned for 3 yards (tackle by Tony Wragge),2.130,-2.190
2,11:31,1,10,CLE 49,7,3,Thomas Clayton right guard for -3 yards (tackle by James Laurinaitis and Gary Gibson),2.190,1.240
2,10:56,2,13,CLE 46,7,3,Colt McCoy pass complete short left to Alex Smith for 10 yards (tackle by Josh Gordy),1.240,1.880
2,10:14,3,3,STL 44,7,3,Colt McCoy pass complete short right to Josh Cribbs for 5 yards (tackle by Justin King),1.880,2.980
2,10:14,1,10,STL 39,7,3,Colt McCoy pass complete deep left to Seneca Wallace for 21 yards (tackle by Darian Stewart),2.980,4.370
2,9:16,1,10,STL 18,7,3,Thomas Clayton left tackle for 1 yard (tackle by Chris Long),4.370,3.940
2,8:35,2,9,STL 17,7,3,Colt McCoy pass complete short right to Thomas Clayton for 3 yards (tackle by Darian Stewart and Justin King),3.940,3.630
2,7:53,3,6,STL 14,7,3,Colt McCoy pass incomplete intended for Jordan Cameron (defended by Justin King),3.630,2.530
2,7:45,4,6,STL 14,7,6,Phil Dawson 32 yard field goal good,2.530,3.000
2,,,,CLE 35,7,6,"Phil Dawson kicks off 66 yards, returned by Quinn Porter for 11 yards (tackle by Raymond Ventrone)",0.000,-0.380
2,7:37,1,10,STL 10,7,6,Steven Jackson left tackle for 2 yards (tackle by Emmanuel Stephens),-0.380,-0.630
2,7:00,2,8,STL 12,7,6,Sam Bradford pass complete short left to Michael Hoomanawanui for 6 yards (tackle by D'Qwell Jackson),-0.630,-0.480
2,6:21,3,2,STL 18,7,6,Sam Bradford pass incomplete short left intended for Austin Pettis (defended by Sheldon Brown),-0.480,-2.240
2,6:16,4,2,STL 18,7,6,"Donnie Jones punts 57 yards, returned by Josh Cribbs for 10 yards (tackle by Chris Chamberlain). Penalty on Kaluka Maiava: Offensive Holding, 10 yards, Penalty on Joe Haden: Illegal Block Above the Waist (Declined)",-2.240,0.220
2,6:05,1,10,CLE 15,7,6,Chris Ogbonnaya right guard for 5 yards (tackle by Ben Leber and Darian Stewart),-0.220,0.080
2,6:05,2,5,CLE 20,7,6,"Penalty on Fred Robbins: Encroachment, 5 yards (no play)",0.080,0.610
2,5:14,1,10,CLE 25,7,6,Chris Ogbonnaya right guard for 1 yard (tackle by Ben Leber),0.610,0.200
2,4:29,2,9,CLE 26,7,6,Colt McCoy for 1 yard (tackle by James Laurinaitis),0.200,-0.360
2,3:45,3,8,CLE 27,7,6,Colt McCoy pass incomplete short right intended for Ben Watson (defended by Marquis Johnson),-0.360,-1.570
2,3:40,4,8,CLE 27,7,6,Brad Maynard punts 36 yards (tackle by Kaluka Maiava),-1.570,-2.460
2,3:26,1,10,CLE 47,7,6,Steven Jackson left guard for 2 yards (tackle by Ahtyba Rubin and D'Qwell Jackson),2.460,2.180
2,3:18,2,8,CLE 45,7,6,Steven Jackson left guard for 8 yards (tackle by Mike Adams),2.180,3.120
2,2:18,1,10,CLE 37,7,6,Steven Jackson right guard for 22 yards (tackle by Mike Adams),3.120,4.580
2,2:00,1,10,CLE 15,7,6,Steven Jackson left guard for 1 yard (tackle by Phil Taylor),4.580,4.110
2,1:29,2,9,CLE 14,7,6,Steven Jackson left guard for 3 yards (tackle by Jabaal Sheard),4.110,3.780
2,1:15,,,,7,6,Timeout #1 by Cleveland Browns,0.000,3.780
2,1:15,3,6,CLE 11,7,6,Sam Bradford pass incomplete short middle intended for Brandon Gibson (defended by Chris Gocong),3.780,2.720
2,1:10,4,6,CLE 11,10,6,Josh Brown 29 yard field goal good,2.720,3.000
2,,,,STL 35,10,6,"Josh Brown kicks off 68 yards, returned by Josh Cribbs for 27 yards (tackle by Brit Miller)",0.000,0.540
2,1:02,1,10,CLE 24,10,6,"Colt McCoy pass complete short right to Greg Little for 4 yards (tackle by Darian Stewart). Penalty on Shawn Lauvao: Offensive Holding, 10 yards (no play)",0.540,-0.500
2,0:55,1,20,CLE 14,10,6,Chris Ogbonnaya right end for 11 yards (tackle by Craig Dahl),-0.500,0.130
2,0:35,2,9,CLE 25,10,6,Colt McCoy pass complete short left to Josh Cribbs for 7 yards (tackle by Josh Gordy and Quintin Mikell),0.130,0.370
2,0:28,,,,10,6,Timeout #1 by St. Louis Rams,0.000,0.370
2,0:28,3,2,CLE 32,10,6,Colt McCoy pass complete short right to Jordan Norwood for 6 yards (tackle by Justin King),0.370,1.470
2,0:23,1,10,CLE 38,10,6,Colt McCoy pass complete deep middle to Greg Little for 52 yards (tackle by Josh Gordy). Penalty on Justin King: Defensive Holding (Declined),1.470,4.910
2,0:14,1,10,STL 10,10,6,Colt McCoy pass incomplete short right intended for Josh Cribbs (defended by James Laurinaitis),4.910,4.190
2,0:10,,,,10,6,Timeout #2 by St. Louis Rams,0.000,4.190
2,0:10,2,10,STL 10,10,6,"Colt McCoy pass incomplete short left intended for Evan Moore. Penalty on Evan Moore: Face Mask (15 Yards), 15 yards (no play)",4.190,2.330
2,0:05,2,25,STL 25,10,9,Phil Dawson 43 yard field goal good,2.330,3.000
Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,9,"Phil Dawson kicks off 71 yards, touchback",0.000,0.280
3,15:00,1,10,STL 20,10,9,"Sam Bradford pass incomplete short left intended for Brandon Lloyd (defended by Chris Gocong). Penalty on STL: Illegal Shift, 5 yards (no play)",0.280,-0.310
3,14:54,1,15,STL 15,10,9,Steven Jackson right guard for 17 yards (tackle by Phil Taylor),-0.310,1.070
3,14:25,1,10,STL 32,10,9,Steven Jackson right guard for 5 yards (tackle by Usama Young),1.070,1.200
3,14:14,2,5,STL 37,10,9,Steven Jackson left guard for no gain (tackle by Scott Fujita),1.200,0.500
3,13:39,3,5,STL 37,10,9,Sam Bradford right end for 6 yards (tackle by Ahtyba Rubin),0.500,1.800
3,13:39,1,10,STL 43,10,9,Steven Jackson right tackle for -4 yards (tackle by Usama Young),1.800,0.710
3,12:40,2,14,STL 39,10,9,Sam Bradford pass complete short middle to Brandon Lloyd for 10 yards (tackle by Joe Haden),0.710,1.350
3,11:56,3,4,STL 49,10,9,Sam Bradford pass complete short right to Austin Pettis for 12 yards (tackle by Mike Adams),1.350,2.980
3,11:27,1,10,CLE 39,10,9,Steven Jackson right tackle for 4 yards (tackle by Usama Young and Scott Fujita),2.980,2.980
3,10:47,2,6,CLE 35,10,9,"Sam Bradford pass complete to Steven Jackson for 5 yards (tackle by Chris Gocong). Steven Jackson fumbles (forced by Chris Gocong), recovered by Chris Gocong at CLE-29 (tackle by Austin Pettis)",2.980,-0.870
3,10:40,1,10,CLE 29,10,9,Chris Ogbonnaya right tackle for 4 yards (tackle by Brady Poppinga),0.870,0.870
3,10:06,2,6,CLE 33,10,9,"Colt McCoy pass incomplete intended for Josh Cribbs. Penalty on Alex Mack: Offensive Holding, 10 yards (no play)",0.870,-0.480
3,10:01,2,16,CLE 23,10,9,Colt McCoy pass complete short right to Greg Little for 6 yards (tackle by Quintin Mikell),-0.480,-0.360
3,9:15,3,10,CLE 29,10,9,Colt McCoy pass complete short right to Chris Ogbonnaya for 17 yards (tackle by Justin King and Josh Gordy),-0.360,1.990
3,8:44,1,10,CLE 46,10,9,Colt McCoy pass incomplete intended for Owen Marecic,1.990,1.450
3,8:35,2,10,CLE 46,10,9,Chris Ogbonnaya left tackle for 4 yards (tackle by Fred Robbins),1.450,1.290
3,7:54,3,6,,10,9,Colt McCoy for 1 yard,1.290,0.000
3,7:17,4,5,STL 49,10,9,Brad Maynard punts 44 yards,0.000,0.380
3,7:13,1,10,STL 5,10,9,Steven Jackson left guard for 5 yards (tackle by Ahtyba Rubin),-0.380,-0.420
3,6:38,2,5,STL 10,10,9,Steven Jackson right tackle for no gain (tackle by Ahtyba Rubin and Jabaal Sheard),-0.420,-0.840
3,5:51,,,,10,9,Timeout #1 by St. Louis Rams,0.000,-0.840
3,5:51,3,5,STL 10,10,9,Sam Bradford pass complete short left to Austin Pettis for 3 yards (tackle by Chris Gocong),-0.840,-2.490
3,5:12,4,2,STL 13,10,9,Donnie Jones punts 64 yards,-2.490,-0.480
3,4:59,1,10,CLE 23,10,9,Colt McCoy pass complete short right to Ben Watson for 3 yards (tackle by Brady Poppinga),0.480,0.340
3,4:20,2,7,CLE 26,10,9,"Josh Cribbs left tackle for 15 yards (tackle by Darian Stewart). Penalty on Greg Little: Offensive Holding, 10 yards",0.340,1.010
3,4:04,2,2,CLE 31,10,9,Chris Ogbonnaya right guard for 32 yards (tackle by Brady Poppinga),1.010,3.120
3,3:20,1,10,STL 37,10,9,Colt McCoy pass complete deep right to Ben Watson for 22 yards (tackle by Justin King),3.120,4.580
3,2:37,1,10,STL 15,10,9,Chris Ogbonnaya right tackle for no gain (tackle by Fred Robbins and James Laurinaitis),4.580,3.950
3,1:57,2,10,STL 15,10,9,Chris Ogbonnaya right guard for 4 yards (tackle by Chris Chamberlain),3.950,3.780
3,1:17,3,6,STL 11,10,9,Colt McCoy pass complete to Chris Ogbonnaya for 2 yards (tackle by Craig Dahl),3.780,2.900
3,0:37,4,4,STL 9,10,12,Phil Dawson 27 yard field goal good,2.900,3.000
3,,,,CLE 35,10,12,"Phil Dawson kicks off 56 yards, returned by Quinn Porter for 17 yards (tackle by Buster Skrine)",0.000,0.670
3,0:27,1,10,STL 26,10,12,Sam Bradford pass complete short left to Michael Hoomanawanui for 15 yards (tackle by Joe Haden). Penalty on Joe Haden: Defensive Holding (Declined),0.670,1.660
Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 41,10,12,"Sam Bradford pass incomplete intended for Mark Clayton. Penalty on Adam Goldberg: Tripping, 10 yards (no play)",1.660,1.000
4,14:55,1,20,STL 31,10,12,Steven Jackson left guard for 5 yards (tackle by Mike Adams and Phil Taylor),1.000,0.450
4,14:14,2,15,STL 36,10,12,Sam Bradford pass incomplete intended for Brandon Lloyd (defended by Joe Haden),0.450,-0.230
4,14:14,3,15,STL 36,10,12,"Penalty on Sam Bradford: Delay of Game, 5 yards (no play)",-0.230,-0.890
4,14:08,3,20,STL 31,10,12,Sam Bradford pass complete to Steven Jackson for 7 yards (tackle by Chris Gocong),-0.890,-0.850
4,13:32,4,13,STL 38,10,12,Donnie Jones punts 36 yards,-0.850,-0.670
4,13:27,1,10,CLE 26,10,12,Chris Ogbonnaya up the middle for 4 yards (tackle by James Laurinaitis and Chris Chamberlain),0.670,0.670
4,12:52,,,,10,12,Timeout #1 by Cleveland Browns,0.000,0.670
4,12:52,2,6,CLE 30,10,12,Colt McCoy sacked by Chris Long for -1 yards,0.670,-0.160
4,12:16,3,7,CLE 29,10,12,Colt McCoy sacked by James Laurinaitis for -8 yards,-0.160,-1.960
4,11:47,4,15,CLE 21,10,12,"Brad Maynard punts 44 yards, fair catch by Austin Pettis",-1.960,-1.270
4,11:39,1,10,STL 35,10,12,Steven Jackson left guard for 3 yards (tackle by Usama Young and Emmanuel Stephens),1.270,1.130
4,11:04,2,7,STL 38,10,12,Sam Bradford pass incomplete intended for Brandon Lloyd,1.130,0.430
4,10:59,3,7,STL 38,10,12,Sam Bradford pass incomplete short left intended for Brandon Lloyd (defended by Joe Haden),0.430,-0.850
4,10:53,4,7,STL 38,10,12,"Donnie Jones punts 45 yards, returned by Josh Cribbs for 6 yards (tackle by David Nixon). Josh Cribbs fumbles, recovered by Ben Leber at CLE-27",-0.850,3.780
4,10:39,1,10,CLE 27,10,12,Steven Jackson left guard for 5 yards (tackle by Emmanuel Stephens and D'Qwell Jackson),3.780,3.910
4,10:09,2,5,CLE 22,10,12,Steven Jackson left tackle for 6 yards (tackle by Mike Adams),3.910,4.510
4,9:28,1,10,CLE 16,10,12,Steven Jackson left tackle for no gain (tackle by Scott Fujita),4.510,3.900
4,9:28,2,10,CLE 16,10,12,Sam Bradford pass complete to Billy Bajema for 7 yards (tackle by Sheldon Brown),3.900,4.390
4,8:19,3,3,CLE 9,10,12,Sam Bradford sacked by Phil Taylor for -7 yards,4.390,2.380
4,7:47,4,10,CLE 16,13,12,Josh Brown 34 yard field goal good,2.380,3.000
4,,,,STL 35,13,12,Josh Brown kicks off 63 yards,0.000,1.600
4,7:40,1,10,CLE 40,13,12,Colt McCoy pass complete right to Greg Little for 11 yards (tackle by Josh Gordy),1.600,2.320
4,7:07,1,10,STL 49,13,12,Greg Little left end for 10 yards (tackle by Justin King),2.320,2.980
4,6:23,1,10,STL 39,13,12,"Colt McCoy pass complete short right to Alex Smith for 5 yards (tackle by Craig Dahl). Penalty on Fred Robbins: Horse Collar Tackle, 15 yards",2.980,4.310
4,5:58,1,10,STL 19,13,12,Chris Ogbonnaya right tackle for 3 yards (tackle by Justin King and James Laurinaitis),4.310,4.180
4,5:19,2,7,STL 16,13,12,Chris Ogbonnaya right guard for 5 yards (tackle by James Laurinaitis),4.180,4.430
4,4:36,3,2,STL 11,13,12,Owen Marecic left guard for 3 yards (tackle by James Hall),4.430,5.370
4,3:55,1,8,STL 8,13,12,Chris Ogbonnaya right guard for -1 yards (tackle by Quintin Mikell),5.370,4.380
4,3:10,2,9,STL 9,13,12,"Colt McCoy for no gain. Colt McCoy fumbles, recovered by Josh Cribbs at STL-7",4.380,3.810
4,2:59,,,,13,12,Timeout #2 by St. Louis Rams,0.000,3.810
4,2:59,3,7,STL 7,13,12,Chris Ogbonnaya right guard for 3 yards (tackle by Justin King),3.810,3.030
4,2:13,,,,13,12,Timeout #2 by Cleveland Browns,0.000,3.030
4,2:13,4,4,STL 4,13,12,Phil Dawson 22 yard field goal no good,3.030,-0.280
4,2:10,1,10,STL 20,13,12,Steven Jackson right guard for 6 yards (tackle by Phil Taylor),0.280,0.540
4,2:00,2,4,STL 26,13,12,Steven Jackson left tackle for 5 yards (tackle by D'Qwell Jackson),0.540,1.000
4,1:53,,,,13,12,Timeout #3 by Cleveland Browns,0.000,1.000
4,1:53,1,10,STL 31,13,12,Sam Bradford kneels for -1 yards,1.000,0.320
4,1:13,2,11,STL 30,13,12,Sam Bradford kneels for -1 yards,0.320,-0.490
4,0:37,3,12,STL 29,13,12,Sam Bradford kneels for -1 yards,-0.490,-1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
