Quarter,Time,Tm,Detail,STL,ARI
1.0,7:04,Cardinals,Larry Fitzgerald 12 yard pass from Kurt Warner (Neil Rackers kick),0,7
2.0,11:25,Rams,Jeff Wilkins 26 yard field goal,3,7
,3:20,Rams,Torry Holt 9 yard pass from Marc Bulger (Jeff Wilkins kick),10,7
,0:00,Rams,Jeff Wilkins 47 yard field goal,13,7
3.0,8:08,Rams,Jeff Wilkins 21 yard field goal,16,7
4.0,4:13,Cardinals,Edgerrin James 6 yard rush (Neil Rackers kick),16,14
