Unnamed: 0,STL,ARI
First Downs,18,20
Rush-Yds-TDs,28-63-0,28-101-1
Cmp-Att-Yd-TD-INT,21-31-309-1-0,19-28-256-1-3
Sacked-Yards,1-8,1-10
Net Pass Yards,301,246
Total Yards,364,347
Fumbles-Lost,4-2,1-1
Turnovers,2,4
Penalties-Yards,5-25,5-52
Third Down Conv.,6-13,6-12
Fourth Down Conv.,0-1,1-1
Time of Possession,30:07,29:53
