Unnamed: 0,ATL,WAS
First Downs,16,25
Rush-Yds-TDs,41-256-1,35-177-1
Cmp-Att-Yd-TD-INT,8-16-122-2-0,18-38-217-1-2
Sacked-Yards,1-9,1-13
Net Pass Yards,113,204
Total Yards,369,381
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,6-60,3-30
Third Down Conv.,5-12,6-14
Fourth Down Conv.,0-1,0-2
Time of Possession,28:22,31:38
