Quarter,Time,Tm,Detail,ATL,WAS
1.0,6:53,Redskins,Ladell Betts 8 yard rush (Shaun Suisham kick),0,7
,2:43,Redskins,Santana Moss 42 yard pass from Jason Campbell (Shaun Suisham kick),0,14
2.0,7:42,Falcons,Morten Andersen 34 yard field goal,3,14
,2:20,Falcons,Alge Crumpler 16 yard pass from Michael Vick (Morten Andersen kick),10,14
3.0,10:32,Falcons,Michael Jenkins 22 yard pass from Michael Vick (Morten Andersen kick),17,14
4.0,12:26,Falcons,Jerious Norwood 69 yard rush (Morten Andersen kick),24,14
