Unnamed: 0,MIN,DET
First Downs,17,29
Rush-Yds-TDs,33-123-1,21-56-0
Cmp-Att-Yd-TD-INT,20-37-192-0-4,35-56-393-2-3
Sacked-Yards,2-2,4-34
Net Pass Yards,190,359
Total Yards,313,415
Fumbles-Lost,2-1,4-2
Turnovers,5,5
Penalties-Yards,12-96,7-44
Third Down Conv.,8-18,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:35,33:30
