Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 66 yards, muffed by Troy Williamson, recovered by Troy Williamson at MIN-13, and returned for 8 yards",0.000,0.340
1,14:40,1,10,MIN 21,0,0,Adrian Peterson left end for 8 yards (tackle by Boss Bailey and Ernie Sims),0.340,0.880
1,14:21,2,2,MIN 29,0,0,Tarvaris Jackson pass complete short right to Troy Williamson for 11 yards (tackle by Fernando Bryant),0.880,1.600
1,13:47,1,10,MIN 40,0,0,Adrian Peterson left tackle for 4 yards (tackle by Ernie Sims),1.600,1.590
1,13:11,2,6,MIN 44,0,0,Tarvaris Jackson pass complete short middle to Adrian Peterson for 10 yards (tackle by Boss Bailey),1.590,2.520
1,12:36,1,10,DET 46,0,0,Tarvaris Jackson pass complete short middle to Mewelde Moore for 6 yards (tackle by Paris Lenon),2.520,2.790
1,11:55,2,4,DET 40,0,0,Mewelde Moore left tackle for 3 yards (tackle by Gerald Alexander and Paris Lenon),2.790,2.480
1,11:23,3,1,DET 37,0,0,Mewelde Moore up the middle for 3 yards (tackle by Gerald Alexander),2.480,3.310
1,10:45,1,10,DET 34,0,0,Adrian Peterson right tackle for 5 yards (tackle by Shaun Cody),3.310,3.450
1,10:08,2,5,DET 29,0,0,Tarvaris Jackson pass complete short left to Bobby Wade for 4 yards (tackle by Stanley Wilson),3.450,3.270
1,9:29,3,1,DET 25,0,0,Tarvaris Jackson pass incomplete short middle intended for Jim Kleinsasser is intercepted by Shaun Cody at DET-22 and returned for -2 yards (tackle by Bobby Wade),3.270,-0.280
1,9:22,1,10,DET 20,0,0,Jon Kitna pass incomplete deep middle intended for Calvin Johnson,0.280,-0.270
1,9:17,2,10,DET 20,0,0,Jon Kitna pass complete short left to Shaun McDonald for 13 yards (tackle by Dwight Smith),-0.270,1.140
1,8:50,1,10,DET 33,0,0,Jon Kitna pass complete short left to Shaun McDonald for 14 yards (tackle by Chad Greenway),1.140,2.060
1,8:24,1,10,DET 47,0,0,Jon Kitna pass incomplete short right intended for Mike Furrey (defended by Kevin Williams),2.060,1.520
1,8:21,2,10,DET 47,0,0,Jon Kitna pass complete short left to Roy E. Williams for 12 yards (tackle by Cedric Griffin),1.520,2.850
1,8:03,1,10,MIN 41,0,0,Jon Kitna pass incomplete deep left intended for Roy E. Williams (defended by Dwight Smith),2.850,2.310
1,7:58,2,10,MIN 41,0,0,Jon Kitna pass complete short middle to Shaun McDonald for 12 yards (tackle by Antoine Winfield),2.310,3.640
1,7:38,1,10,MIN 29,0,0,Jon Kitna pass complete deep right to Mike Furrey for 19 yards (tackle by Darren Sharper),3.640,4.910
1,7:21,1,10,MIN 10,0,0,Jon Kitna pass incomplete short left intended for Shaun McDonald,4.910,4.190
1,7:10,2,10,MIN 10,0,0,Tatum Bell up the middle for no gain (tackle by E.J. Henderson and Dwight Smith),4.190,3.130
1,6:45,3,10,MIN 10,0,0,Jon Kitna pass incomplete short right intended for Roy E. Williams is intercepted by Darren Sharper at MIN-0,3.130,-0.280
,,,,,,,"DET challenged the pass completion ruling, and the play was upheld.",,
1,6:35,1,10,MIN 20,0,0,Adrian Peterson left end for 9 yards (tackle by Kenoy Kennedy),0.280,0.950
1,6:10,2,1,MIN 29,0,0,"Penalty on Shaun Rogers: Encroachment, 5 yards (no play)",0.950,1.200
1,5:55,1,10,MIN 34,0,0,"Penalty on Adrian Peterson: False Start, 5 yards (no play)",1.200,0.870
1,5:36,1,15,MIN 29,0,0,Tarvaris Jackson pass complete short right to Bobby Wade for 10 yards (tackle by Fernando Bryant),0.870,1.330
1,5:01,2,5,MIN 39,0,0,Adrian Peterson left tackle for 3 yards (tackle by Boss Bailey),1.330,1.030
1,4:24,3,2,MIN 42,0,0,Tarvaris Jackson pass incomplete short right intended for Troy Williamson (defended by Fernando Bryant),1.030,-0.590
1,4:19,4,2,MIN 42,0,0,"Chris Kluwe punts 52 yards, returned by Troy Walters for 10 yards (tackle by Chad Greenway)",-0.590,0.140
1,4:08,1,10,DET 16,0,0,Jon Kitna pass incomplete,-0.140,-0.660
1,4:02,2,10,DET 16,0,0,"Jon Kitna pass incomplete deep right intended for Roy E. Williams (defended by Marcus McCauley). Penalty on Ray Edwards: Defensive Offside, 5 yards (no play)",-0.660,0.150
1,3:56,2,5,DET 21,0,0,Jon Kitna pass complete short left to Sean McHugh for 6 yards (tackle by Cedric Griffin),0.150,0.740
1,3:30,1,10,DET 27,0,0,Tatum Bell left end for -3 yards (tackle by Cedric Griffin),0.740,-0.210
1,2:52,2,13,DET 24,0,0,Jon Kitna pass complete short left to Roy E. Williams for 8 yards (tackle by Cedric Griffin),-0.210,0.170
1,2:12,3,5,DET 32,0,0,"Jon Kitna pass incomplete deep left intended for Roy E. Williams. Penalty on Cedric Griffin: Defensive Pass Interference, 16 yards (no play)",0.170,2.130
1,2:06,1,10,DET 48,0,0,Jon Kitna pass complete deep middle to Mike Furrey for 15 yards (tackle by Darren Sharper),2.130,3.120
1,1:27,1,10,MIN 37,0,0,Jon Kitna pass incomplete short left intended for Roy E. Williams,3.120,2.570
1,1:20,2,10,MIN 37,0,0,Jon Kitna pass complete short left to Mike Furrey for 9 yards,2.570,3.070
1,1:04,3,1,MIN 28,0,0,"Jon Kitna sacked by Kenechi Udeze for -24 yards. Jon Kitna fumbles, recovered by Jon Kitna at MIN-44",3.070,0.330
1,1:01,4,17,MIN 44,0,0,"Nick Harris punts 31 yards, fair catch by Bobby Wade",0.330,0.320
