Unnamed: 0,SDG,DEN
First Downs,16,20
Rush-Yds-TDs,18-79-0,31-117-0
Cmp-Att-Yd-TD-INT,26-42-235-1-2,26-35-316-2-1
Sacked-Yards,0-0,2-16
Net Pass Yards,235,300
Total Yards,314,417
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,5-41,6-50
Third Down Conv.,8-15,7-15
Fourth Down Conv.,0-0,1-1
Time of Possession,26:13,33:47
