Quarter,Time,Tm,Detail,SDG,DEN
1.0,12:57,Broncos,Ed McCaffrey 69 yard pass from Brian Griese (Jason Elam kick),0,7
2.0,4:25,Broncos,Clinton Portis 8 yard pass from Brian Griese (Jason Elam kick),0,14
,2:22,Broncos,"Safety,",0,16
,0:00,Broncos,Jason Elam 36 yard field goal,0,19
3.0,10:40,Chargers,Steve Christie 24 yard field goal,3,19
4.0,2:54,Broncos,Deltha O'Neal 28 yard interception return (Jason Elam kick),3,26
,1:31,Chargers,Curtis Conway 8 yard pass from Drew Brees (pass failed),9,26
